ܐܦܪܝܩܐ	アフリカ
ܣܘܕܐܢ	スーダン
ܩܫܬܐ ܕܡܪܢ	虹
ܗܐܡܒܘܪܓ	ハンブルク
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	オンタリオ湖
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	スペリオル湖
ܓܐܘܓܪܦܝܐ	地理学
ܠܒܐ	心臓
ܡܘܚܐ	脳
ܓܠܕܐ	皮膚
ܓܘܢܐ	色
ܦܪܐܓ	プラハ
ܙܪܩܐ	青
ܟܣܦܐ (ܣܐܡܐ)	銀
ܡܫܝܓܢ	ミシガン州
ܝܡܬܐ ܕܡܝܫܝܓܢ	ミシガン湖
ܐܠܝܢܘܝ	イリノイ州
ܢܘܪܬ ܕܐܟܘܬܐ	ノースダコタ州
ܣܐܘܬ ܕܐܟܘܬܐ	サウスダコタ州
ܡܘܢܬܐܢܐ	モンタナ州
ܘܐܝܘܡܝܢܓ	ワイオミング州
ܐܘܪܫܠܡ	エルサレム
ܐܝܕܐܗܘ	アイダホ州
ܢܝܒܐܕܐ	ネバダ州
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	インド洋
ܟܘܠܘܪܐܕܘ	コロラド州
ܫܝܩܓܘ	シカゴ
ܣܬܘܐ	冬
ܬܕܐܐ	春
ܩܝܛܐ	夏
ܬܫܪܝܬܐ	秋
ܨܕܐܡ ܚܘܣܝܢ	サッダーム・フセイン
ܠܫܢܐ ܐܣܦܢܝܐ	スペイン語
ܓܘܓܝ	クモ
ܐܒܐ (ܦܐܪܐ)	果実
ܩܘܦܐ	サル
ܒܪܓܝܢܝܐ	バージニア州
ܝܡܬܐ ܕܝܘܪܘܢ	ヒューロン湖
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	ニューヨーク州
ܪܘܕ ܐܝܠܐܢܕ	ロードアイランド州
ܪܚܫܐ	昆虫
ܡܐܪܝܠܐܢܕ	メリーランド州
ܕܝܠܐܘܝܪ	デラウェア州
ܐܘܗܐܝܘ	オハイオ州
ܦܢܣܝܠܒܐܢܝܐ	ペンシルベニア州
ܐܝܛܙܢ	ユーテルゼン
ܐܓܘܣܛܘܣ ܩܣܪ	アウグストゥス
ܢܝܘ ܓܝܪܣܝ	ニュージャージー州
ܐܢܕܝܐܢܐ	インディアナ州
ܪܕܝܬܐ	自動車
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	ジョージア州
ܣܩܠܝܐ	シチリア
ܣܢ (ܢܗܪܐ)	セーヌ川
ܛܘܩܝܘ	東京都
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	フェルディナンド・マゼラン
ܢܝܘ ܡܝܟܣܝܟܘ	ニューメキシコ州
ܐܬܢܘܣ	アテネ
ܡܢܝܣܘܬܐ	ミネソタ州
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	バグダード
ܘܝܣܟܘܢܣܢ	ウィスコンシン州
ܐܝܐܘܐ	アイオワ州
ܢܝܒܪܐܣܟܐ	ネブラスカ州
ܟܐܢܣܐܣ	カンザス州
ܡܝܙܘܪܝ	ミズーリ州
ܐܪܟܢܣܐܣ	アーカンソー州
ܠܫܢܐ ܕܐܘܪܕܘ	ウルドゥー語
ܐܘܟܠܐܗܘܡܐ	オクラホマ州
ܝܡܐ ܕܓܪܒܝܐ	北海
ܒܝܝܢܐ	ウィーン
ܩܘܦܢܗܐܓܢ	コペンハーゲン
ܣܛܘܩܗܘܠܡ	ストックホルム
ܗܠܣܢܩܝ	ヘルシンキ
ܕܒܠܢ	ダブリン
ܒܪܛܝܣܠܐܒܐ	ブラチスラヴァ
ܟܬܒܐ ܩܕܝܫܐ	聖書
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	真イエス教会
ܠܫܢܐ ܐܢܓܠܝܐ	英語
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	コンセプシオン (チリ)
ܐܘܢܛܐܪܝܘ	オンタリオ州
ܡܐܢܝܛܘܒܐ	マニトバ州
ܐܠܒܪܛܐ	アルバータ州
ܢܘܒܐ ܣܩܘܛܝܐ	ノバスコシア州
ܩܘܢܣܩܘܒܘܠܐ	コィンスコヴォラ
ܢܝܘ ܒܪܘܢܙܘܝܩ	ニューブランズウィック州
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	ブリティッシュコロンビア州
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	プリンスエドワードアイランド州
ܣܐܣܩܐܬܫܘܐܢ	サスカチュワン州
2012	2012年
2011	2011年
2010	2010年
2009	2009年
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	ニューファンドランド・ラブラドール州
2008	2008年
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	ノースウエスト準州
ܝܘܩܘܢ	ユーコン準州
2005	2005年
2006	2006年
ܢܘܢܐܒܘܛ	ヌナブト準州
2007	2007年
ܡܐܟܘܠܬܐ	食品
ܚܘܝܐ	ヘビ
ܩܘܪܘܦ	クルフ
ܟܝܡܝܐ	化学
1968	1968年
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	ホロコースト
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	マドリード
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	カナダの州
