非洲	アフリカ
伊斯坦布爾	イスタンブル
澳大利亞	オーストラリア
物理學	物理学
阿根廷	アルゼンチン
電信	電気通信
朝鮮民主主義人民共和國	朝鮮民主主義人民共和国
柬埔寨	カンボジア
恐龍	恐竜
駄	車輪
狄德羅	ドゥニ・ディドロ
心智	心
萬維網	World Wide Web
女人	女性
詩	詩
脇胛	腋の下
檸檬	レモン
香蕉	バナナ
666年	666年
花	花
珠穆朗瑪峰	エベレスト
城市	都市
拿破崙	ナポレオン・ボナパルト
太陽	太陽
光年	光年
雨果	ヴィクトル・ユーゴー
大洋洲	オセアニア
田徑	陸上競技
太陽系	太陽系
地獄	地獄
書	本
日	日
年	年
哥白尼	ニコラウス・コペルニクス
可利俄捌拿七世	クレオパトラ7世
音樂	音楽
莫斯科	モスクワ
意大利語	イタリア語
北	北
南	南
印度	インド
散文	散文
鐵	鉄
西	西
東	東
莫里哀	モリエール
莎士比亞	ウィリアム・シェイクスピア
國際象棋	チェス
成吉思汗	チンギス・カン
馬	ウマ
武器	武器
動物	動物
藝術	芸術
哥倫比亞	コロンビア
佛教	仏教
植物	植物
達芬奇	レオナルド・ダ・ヴィンチ
雞	ニワトリ
北冰洋	北極海
伊朗	イラン
伊拉克	イラク
阿拉斯加州	アラスカ州
以色列	イスラエル
亞利桑那州	アリゾナ州
老撾	ラオス
美洲	アメリカ州
馬來西亞	マレーシア
緬甸	ミャンマー
巴基斯坦	パキスタン
網球	テニス
沙特阿拉伯	サウジアラビア
斯大林	ヨシフ・スターリン
柏拉圖	プラトン
中華民國	中華民国
亞里斯多德	アリストテレス
泰國	タイ王国
火車	列車
無線電	ラジオ
越南	ベトナム
韓國	大韓民国
金	金
蘇伊士運河	スエズ運河
孟加拉	バングラデシュ
卡夫卡	フランツ・カフカ
蘇格拉底	ソクラテス
羅德·阿門森	ロアール・アムンセン
菲律賓	フィリピン
南極點	南極点
北極點	北極点
牛頓	アイザック・ニュートン
愛因斯坦	アルベルト・アインシュタイン
黃	黄色
北京	北京市
剛果民主共和國	コンゴ民主共和国
聖安東尼奧 (德克薩斯州)	サンアントニオ
多托頁夫斯基	フョードル・ドストエフスキー
毛伢子	赤ちゃん
甘地	マハトマ・ガンディー
人骨子頭畫	漫画
尼日利亞	ナイジェリア
達爾文	チャールズ・ダーウィン
卡爾·林奈	カール・フォン・リンネ
凱撒大帝	ガイウス・ユリウス・カエサル
聯合國	国際連合
但丁	ダンテ・アリギエーリ
地理學	地理学
色	色
藍	青
銀	銀
電	電荷
耶路撒冷	エルサレム
印度洋	インド洋
科索沃	コソボ
蕭邦	フレデリック・ショパン
分類:總類	Category:主要カテゴリ
阿爾卑斯山	アルプス山脈
帕斯卡	ブレーズ・パスカル
西洋跳棋	チェッカー
芝加哥	シカゴ
披頭士	ビートルズ
西班牙語	スペイン語
巴赫	ヨハン・ゼバスティアン・バッハ
歌劇	オペラ
費城	フィラデルフィア
德里	デリー
水果	果実
錢	貨幣
列寧	ウラジーミル・レーニン
衛吉	ウェルギリウス
屋大維	アウグストゥス
汽車	自動車
東京	東京都
麥哲倫	フェルディナンド・マゼラン
華格納	リヒャルト・ワーグナー
雅典	アテネ
世界標準時間	協定世界時
印地語	ヒンディー語
阿肯色州	アーカンソー州
韻文	韻文
瑪當娜	マドンナ (歌手)
路易·暗式將	ルイ・アームストロング
法蘭克福	フランクフルト・アム・マイン
聖經	聖書
胡志明市	ホーチミン市
真耶穌教會	真イエス教会
英語	英語
同海市	ドンホイ
孔斯科沃拉	コィンスコヴォラ
2000年	2000年
2003年	2003年
2002年	2002年
2001年	2001年
2012年	2012年
2011年	2011年
2010年	2010年
2009年	2009年
2013年	2013年
2014年	2014年
2015年	2015年
2008年	2008年
2004年	2004年
2005年	2005年
2006年	2006年
2007年	2007年
1900年	1900年
1901年	1901年
戴高樂	シャルル・ド・ゴール
1902年	1902年
1903年	1903年
1904年	1904年
1905年	1905年
1907年	1907年
1906年	1906年
1908年	1908年
1909年	1909年
1992年	1992年
1991年	1991年
1990年	1990年
1993年	1993年
1994年	1994年
1995年	1995年
1996年	1996年
1910年	1910年
1911年	1911年
1912年	1912年
1913年	1913年
1914年	1914年
1915年	1915年
1916年	1916年
1997年	1997年
1998年	1998年
1999年	1999年
1917年	1917年
1918年	1918年
喫嗰	食品
1月1號	1月1日
1月2號	1月2日
1920年	1920年
1月3號	1月3日
1919年	1919年
1921年	1921年
1922年	1922年
1月4號	1月4日
1923年	1923年
1924年	1924年
1月5號	1月5日
1月6號	1月6日
1月7號	1月7日
1月8號	1月8日
1月9號	1月9日
1月10號	1月10日
1月11號	1月11日
1月12號	1月12日
1月13號	1月13日
1月14號	1月14日
1月15號	1月15日
1月16號	1月16日
1月17號	1月17日
1月18號	1月18日
1月19號	1月19日
1月20號	1月20日
工業革命	産業革命
1月21號	1月21日
1月22號	1月22日
1月23號	1月23日
羅馬帝國	ローマ帝国
1月24號	1月24日
1月25號	1月25日
1月26號	1月26日
微軟	マイクロソフト
1月27號	1月27日
1月28號	1月28日
1月29號	1月29日
1月30號	1月30日
1月31號	1月31日
12月2號	12月2日
12月1號	12月1日
12月3號	12月3日
12月7號	12月7日
12月5號	12月5日
12月8號	12月8日
12月10號	12月10日
12月6號	12月6日
12月9號	12月9日
12月4號	12月4日
2月1號	2月1日
2月2號	2月2日
2月3號	2月3日
庫魯夫市	クルフ
2月4號	2月4日
2月5號	2月5日
2月6號	2月6日
2月7號	2月7日
2月8號	2月8日
2月9號	2月9日
2月10號	2月10日
化學	化学
2月14號	2月14日
2月13號	2月13日
2月15號	2月15日
2月11號	2月11日
2月12號	2月12日
2月19號	2月19日
2月17號	2月17日
2月16號	2月16日
2月18號	2月18日
2月20號	2月20日
2月21號	2月21日
2月22號	2月22日
2月23號	2月23日
2月24號	2月24日
2月25號	2月25日
2月26號	2月26日
27年	27年
2月27號	2月27日
2月28號	2月28日
12月11號	12月11日
2月29號	2月29日
12月12號	12月12日
12月13號	12月13日
12月14號	12月14日
12月15號	12月15日
3月2號	3月2日
3月3號	3月3日
3月5號	3月5日
3月1號	3月1日
3月7號	3月7日
3月8號	3月8日
3月4號	3月4日
3月10號	3月10日
3月11號	3月11日
3月6號	3月6日
3月13號	3月13日
3月9號	3月9日
3月12號	3月12日
3月15號	3月15日
3月14號	3月14日
C++	C++
12月16號	12月16日
12月17號	12月17日
3月16號	3月16日
3月17號	3月17日
3月18號	3月18日
3月19號	3月19日
1989年	1989年
1988年	1988年
3月20號	3月20日
1987年	1987年
1986年	1986年
1985年	1985年
1984年	1984年
3月21號	3月21日
1983年	1983年
3月22號	3月22日
1982年	1982年
1981年	1981年
12月18號	12月18日
1980年	1980年
3月23號	3月23日
12月19號	12月19日
3月24號	3月24日
3月25號	3月25日
12月20號	12月20日
3月26號	3月26日
3月27號	3月27日
3月28號	3月28日
3月29號	3月29日
3月30號	3月30日
3月31號	3月31日
1970年	1970年
1971年	1971年
1972年	1972年
1973年	1973年
1974年	1974年
1975年	1975年
1976年	1976年
1977年	1977年
1978年	1978年
1979年	1979年
1969年	1969年
4月15號	4月15日
4月13號	4月13日
4月12號	4月12日
4月14號	4月14日
4月11號	4月11日
4月10號	4月10日
4月8號	4月8日
4月9號	4月9日
4月7號	4月7日
4月6號	4月6日
4月5號	4月5日
4月4號	4月4日
4月3號	4月3日
4月1號	4月1日
4月2號	4月2日
夏寶太空望遠鏡	ハッブル宇宙望遠鏡
4月16號	4月16日
4月17號	4月17日
4月18號	4月18日
4月19號	4月19日
4月20號	4月20日
4月21號	4月21日
4月22號	4月22日
4月23號	4月23日
4月24號	4月24日
4月25號	4月25日
4月26號	4月26日
4月27號	4月27日
4月28號	4月28日
4月29號	4月29日
4月30號	4月30日
天然衛星	衛星
5月1號	5月1日
5月2號	5月2日
5月3號	5月3日
5月4號	5月4日
5月5號	5月5日
5月6號	5月6日
5月7號	5月7日
5月8號	5月8日
5月9號	5月9日
5月10號	5月10日
5月11號	5月11日
5月12號	5月12日
5月13號	5月13日
5月14號	5月14日
5月15號	5月15日
5月16號	5月16日
5月17號	5月17日
5月18號	5月18日
5月19號	5月19日
5月20號	5月20日
5月21號	5月21日
5月22號	5月22日
5月23號	5月23日
5月24號	5月24日
5月25號	5月25日
5月26號	5月26日
5月27號	5月27日
5月28號	5月28日
5月29號	5月29日
5月30號	5月30日
5月31號	5月31日
12月21號	12月21日
6月14號	6月14日
6月15號	6月15日
6月13號	6月13日
6月10號	6月10日
6月7號	6月7日
6月11號	6月11日
6月9號	6月9日
6月12號	6月12日
6月6號	6月6日
6月8號	6月8日
6月5號	6月5日
6月3號	6月3日
6月2號	6月2日
6月1號	6月1日
6月4號	6月4日
12月22號	12月22日
1968年	1968年
1967年	1967年
1966年	1966年
1965年	1965年
1964年	1964年
6月16號	6月16日
6月30號	6月30日
6月29號	6月29日
6月28號	6月28日
6月26號	6月26日
6月25號	6月25日
6月22號	6月22日
6月27號	6月27日
6月24號	6月24日
6月20號	6月20日
6月23號	6月23日
6月19號	6月19日
6月18號	6月18日
6月21號	6月21日
6月17號	6月17日
12月23號	12月23日
7月15號	7月15日
7月13號	7月13日
7月12號	7月12日
7月10號	7月10日
7月9號	7月9日
7月14號	7月14日
7月8號	7月8日
7月7號	7月7日
7月6號	7月6日
7月5號	7月5日
7月2號	7月2日
7月4號	7月4日
7月3號	7月3日
7月1號	7月1日
7月11號	7月11日
12月24號	12月24日
7月31號	7月31日
7月30號	7月30日
7月29號	7月29日
7月28號	7月28日
7月27號	7月27日
7月25號	7月25日
7月24號	7月24日
7月23號	7月23日
7月26號	7月26日
7月22號	7月22日
7月19號	7月19日
7月21號	7月21日
7月20號	7月20日
7月17號	7月17日
7月18號	7月18日
7月16號	7月16日
腳球	サッカー
音樂劇	ミュージカル
12月25號	12月25日
1963年	1963年
12月26號	12月26日
1962年	1962年
8月14號	8月14日
8月15號	8月15日
8月13號	8月13日
8月12號	8月12日
8月11號	8月11日
8月10號	8月10日
8月8號	8月8日
8月7號	8月7日
8月9號	8月9日
8月5號	8月5日
8月4號	8月4日
8月2號	8月2日
8月3號	8月3日
8月6號	8月6日
8月1號	8月1日
12月27號	12月27日
潛水艇	潜水艦
8月16號	8月16日
8月29號	8月29日
8月28號	8月28日
8月30號	8月30日
8月25號	8月25日
8月26號	8月26日
8月23號	8月23日
8月27號	8月27日
8月21號	8月21日
8月20號	8月20日
8月24號	8月24日
8月18號	8月18日
8月17號	8月17日
8月22號	8月22日
8月19號	8月19日
8月31號	8月31日
麥可·傑克遜	マイケル・ジャクソン
12月28號	12月28日
9月15號	9月15日
9月14號	9月14日
9月13號	9月13日
9月12號	9月12日
9月8號	9月8日
9月11號	9月11日
9月7號	9月7日
9月10號	9月10日
9月5號	9月5日
9月4號	9月4日
9月9號	9月9日
9月2號	9月2日
9月6號	9月6日
9月1號	9月1日
9月3號	9月3日
12月29號	12月29日
9月30號	9月30日
9月29號	9月29日
9月28號	9月28日
9月27號	9月27日
9月26號	9月26日
9月25號	9月25日
9月23號	9月23日
9月22號	9月22日
9月24號	9月24日
9月21號	9月21日
9月20號	9月20日
9月18號	9月18日
9月17號	9月17日
9月19號	9月19日
9月16號	9月16日
12月30號	12月30日
12月31號	12月31日
10月1號	10月1日
10月15號	10月15日
10月12號	10月12日
10月10號	10月10日
10月14號	10月14日
10月9號	10月9日
10月8號	10月8日
10月13號	10月13日
10月7號	10月7日
10月11號	10月11日
10月6號	10月6日
10月4號	10月4日
10月5號	10月5日
10月3號	10月3日
10月2號	10月2日
10月31號	10月31日
10月30號	10月30日
10月29號	10月29日
10月28號	10月28日
10月26號	10月26日
10月25號	10月25日
10月24號	10月24日
10月27號	10月27日
10月22號	10月22日
10月23號	10月23日
10月20號	10月20日
10月21號	10月21日
10月19號	10月19日
10月17號	10月17日
10月16號	10月16日
10月18號	10月18日
11月15號	11月15日
11月14號	11月14日
11月13號	11月13日
11月12號	11月12日
11月11號	11月11日
11月10號	11月10日
11月7號	11月7日
11月8號	11月8日
11月9號	11月9日
11月6號	11月6日
11月5號	11月5日
11月4號	11月4日
11月3號	11月3日
11月2號	11月2日
11月1號	11月1日
男仔子	少年
11月30號	11月30日
11月29號	11月29日
11月28號	11月28日
11月27號	11月27日
11月26號	11月26日
11月25號	11月25日
11月23號	11月23日
11月24號	11月24日
11月21號	11月21日
11月20號	11月20日
11月22號	11月22日
11月19號	11月19日
11月18號	11月18日
11月17號	11月17日
11月16號	11月16日
女仔子	少女
沙利門大帝	カール大帝
紅色	赤
火	火
尼羅河	ナイル川
1961年	1961年
1960年	1960年
亞馬孫河	アマゾン川
天狗喫日頭	日食
大學	大学
Wikipedia:沙盤	Wikipedia:サンドボックス
屋	家屋
代數	代数学
地圖	地図
江	川
俄舍斯科	オザスコ (サンパウロ州)
同海機場	ドンホイ空港
太空	宇宙空間
望遠鏡	望遠鏡
森林	森林
分類:1888年	Category:1888年
濟酋余化盧	ズィチウーイファル
分類:1481年過世	Category:1481年没
分類:1421年出世	Category:1421年生
分類:1421年	Category:1421年
分類:1481年	Category:1481年
孔子	孔子
科賓·布魯	コービン・ブルー
分類:數學	Category:数学
分類:1888年出世	Category:1888年生
1488年	1488年
歐元	ユーロ
美金	アメリカ合衆国ドル
地中海	地中海
基督教	キリスト教
1004年	1004年
西雅圖	シアトル
禾	米
大洲	大陸
葡萄牙語	ポルトガル語
慕斯他化·克麥·阿塔突	ムスタファ・ケマル・アタテュルク
1948年	1948年
1949年	1949年
黄现璠	黄現ハン
1956年	1956年
1200年	1200年
1201年	1201年
1202年	1202年
1203年	1203年
1204年	1204年
1205年	1205年
1206年	1206年
1941年	1941年
1207年	1207年
1208年	1208年
1945年	1945年
1209年	1209年
1210年	1210年
1211年	1211年
1958年	1958年
1212年	1212年
1926年	1926年
1213年	1213年
1947年	1947年
1944年	1944年
1952年	1952年
日语	日本語
百科全書	百科事典
封面	メインページ
1959年	1959年
1957年	1957年
電容	コンデンサ
晶體管	トランジスタ
1214年	1214年
1215年	1215年
1216年	1216年
1217年	1217年
1218年	1218年
1219年	1219年
1220年	1220年
1221年	1221年
1222年	1222年
1223年	1223年
1224年	1224年
1225年	1225年
1226年	1226年
1227年	1227年
1228年	1228年
1229年	1229年
1230年	1230年
長江	長江
1231年	1231年
1232年	1232年
1233年	1233年
1234年	1234年
1235年	1235年
1236年	1236年
1237年	1237年
1238年	1238年
1239年	1239年
1240年	1240年
1241年	1241年
1242年	1242年
1243年	1243年
1244年	1244年
1245年	1245年
1246年	1246年
喜馬拉雅山脈	ヒマラヤ山脈
安底斯山脈	アンデス山脈
1247年	1247年
1248年	1248年
裡海	カスピ海
1249年	1249年
1250年	1250年
1251年	1251年
1252年	1252年
1254年	1254年
1255年	1255年
1256年	1256年
1257年	1257年
1258年	1258年
1259年	1259年
1260年	1260年
1261年	1261年
1262年	1262年
1263年	1263年
1264年	1264年
1265年	1265年
1266年	1266年
1267年	1267年
1268年	1268年
1269年	1269年
1270年	1270年
1271年	1271年
1272年	1272年
1273年	1273年
1274年	1274年
1275年	1275年
1276年	1276年
1277年	1277年
1278年	1278年
1279年	1279年
1280年	1280年
1281年	1281年
1282年	1282年
1283年	1283年
1284年	1284年
1285年	1285年
1286年	1286年
1287年	1287年
1288年	1288年
1289年	1289年
1290年	1290年
1291年	1291年
1292年	1292年
1293年	1293年
1294年	1294年
1295年	1295年
1296年	1296年
1297年	1297年
1298年	1298年
1299年	1299年
答利	サルバドール・ダリ
梵高	フィンセント・ファン・ゴッホ
葛飾北齋	葛飾北斎
米開朗琪羅	ミケランジェロ・ブオナローティ
畢加索	パブロ・ピカソ
藍郎特	レンブラント・ファン・レイン
1300年	1300年
1301年	1301年
1302年	1302年
1303年	1303年
1304年	1304年
1305年	1305年
安徒生	ハンス・クリスチャン・アンデルセン
拜倫	ジョージ・ゴードン・バイロン
塞萬提斯	ミゲル・デ・セルバンテス
1306年	1306年
1307年	1307年
1308年	1308年
1309年	1309年
1310年	1310年
1311年	1311年
1312年	1312年
1313年	1313年
1314年	1314年
1315年	1315年
1316年	1316年
1317年	1317年
1318年	1318年
1319年	1319年
1320年	1320年
1321年	1321年
1322年	1322年
1323年	1323年
1324年	1324年
1325年	1325年
1326年	1326年
1327年	1327年
1328年	1328年
麥加	メッカ
毛澤東	毛沢東
西安	西安市
被服	毛布
歌德	ヨハン・ヴォルフガング・フォン・ゲーテ
屄	膣
V·禍·魂得他	Vフォー・ヴェンデッタ (映画)
哲學	哲学
1329年	1329年
分類:快速刪吥	Category:即時削除対象のページ
1330年	1330年
1331年	1331年
1332年	1332年
1333年	1333年
1334年	1334年
1335年	1335年
1336年	1336年
1337年	1337年
1338年	1338年
1339年	1339年
1340年	1340年
1341年	1341年
1342年	1342年
1343年	1343年
1344年	1344年
1345年	1345年
1346年	1346年
1347年	1347年
1348年	1348年
1349年	1349年
1350年	1350年
茶	茶
馬可·波羅	マルコ・ポーロ
1351年	1351年
波特蘭 (奧勒岡州)	ポートランド (オレゴン州)
1400年	1400年
1401年	1401年
1352年	1352年
1402年	1402年
1353年	1353年
1403年	1403年
1354年	1354年
1404年	1404年
1355年	1355年
1405年	1405年
1500年	1500年
1406年	1406年
1356年	1356年
1501年	1501年
1407年	1407年
1357年	1357年
1502年	1502年
1408年	1408年
1358年	1358年
1503年	1503年
1359年	1359年
1409年	1409年
1504年	1504年
1360年	1360年
1410年	1410年
1505年	1505年
1506年	1506年
1411年	1411年
1361年	1361年
1507年	1507年
1412年	1412年
1362年	1362年
1413年	1413年
1508年	1508年
1363年	1363年
1509年	1509年
1414年	1414年
1510年	1510年
1415年	1415年
1364年	1364年
共產主義	共産主義
1511年	1511年
1416年	1416年
1365年	1365年
1512年	1512年
1417年	1417年
1366年	1366年
1513年	1513年
1418年	1418年
1367年	1367年
1514年	1514年
1419年	1419年
資本主義	資本主義
1368年	1368年
1515年	1515年
1420年	1420年
1369年	1369年
1516年	1516年
1421年	1421年
1370年	1370年
1371年	1371年
國家	国
1372年	1372年
1373年	1373年
1422年	1422年
1517年	1517年
1423年	1423年
1518年	1518年
1374年	1374年
1424年	1424年
1375年	1375年
1519年	1519年
1376年	1376年
1425年	1425年
1520年	1520年
1521年	1521年
1377年	1377年
1426年	1426年
1522年	1522年
1523年	1523年
1427年	1427年
1378年	1378年
1524年	1524年
1525年	1525年
1428年	1428年
1379年	1379年
1526年	1526年
1429年	1429年
1380年	1380年
1381年	1381年
1382年	1382年
1383年	1383年
1430年	1430年
1431年	1431年
印第安納波利斯	インディアナポリス
1384年	1384年
1432年	1432年
1385年	1385年
1386年	1386年
1433年	1433年
1387年	1387年
1434年	1434年
1435年	1435年
1388年	1388年
1436年	1436年
1389年	1389年
1437年	1437年
1390年	1390年
1438年	1438年
1391年	1391年
1439年	1439年
1392年	1392年
1440年	1440年
1393年	1393年
1394年	1394年
1395年	1395年
1441年	1441年
1396年	1396年
1397年	1397年
1442年	1442年
1527年	1527年
1528年	1528年
1398年	1398年
1443年	1443年
1444年	1444年
1529年	1529年
1399年	1399年
1445年	1445年
1530年	1530年
1446年	1446年
1531年	1531年
1447年	1447年
1532年	1532年
1448年	1448年
蒙彼利埃	モンペリエ
1533年	1533年
1449年	1449年
1534年	1534年
1450年	1450年
1535年	1535年
1451年	1451年
1536年	1536年
1452年	1452年
1537年	1537年
1453年	1453年
1538年	1538年
1454年	1454年
1539年	1539年
1455年	1455年
1540年	1540年
睗著嗰惠尼根	フィネガンズ・ウェイク
分類:天文	Category:天文学
尤利西斯	ユリシーズ
1541年	1541年
1456年	1456年
1457年	1457年
1542年	1542年
1458年	1458年
1543年	1543年
1459年	1459年
1544年	1544年
1460年	1460年
1545年	1545年
1461年	1461年
1546年	1546年
1462年	1462年
1547年	1547年
1463年	1463年
1548年	1548年
1464年	1464年
1549年	1549年
1465年	1465年
1550年	1550年
1466年	1466年
1551年	1551年
1467年	1467年
1468年	1468年
1552年	1552年
1469年	1469年
1553年	1553年
1470年	1470年
1554年	1554年
1471年	1471年
1555年	1555年
撒哈拉沙漠	サハラ砂漠
1472年	1472年
1556年	1556年
1473年	1473年
1557年	1557年
1474年	1474年
1558年	1558年
1475年	1475年
1559年	1559年
1476年	1476年
1560年	1560年
1477年	1477年
1478年	1478年
1561年	1561年
1479年	1479年
1562年	1562年
1480年	1480年
1563年	1563年
1481年	1481年
1564年	1564年
1482年	1482年
1565年	1565年
1483年	1483年
1566年	1566年
1484年	1484年
1567年	1567年
1485年	1485年
1486年	1486年
1568年	1568年
1487年	1487年
1569年	1569年
1570年	1570年
1489年	1489年
1571年	1571年
1490年	1490年
1572年	1572年
1491年	1491年
1573年	1573年
1492年	1492年
1574年	1574年
1493年	1493年
1575年	1575年
荷馬	ホメーロス
1494年	1494年
1495年	1495年
1496年	1496年
1576年	1576年
1497年	1497年
1577年	1577年
1498年	1498年
1578年	1578年
1499年	1499年
1579年	1579年
1580年	1580年
1581年	1581年
1582年	1582年
1600年	1600年
高斯	カール・フリードリヒ・ガウス
1601年	1601年
1583年	1583年
1602年	1602年
1584年	1584年
1603年	1603年
1585年	1585年
1604年	1604年
1586年	1586年
1605年	1605年
1587年	1587年
1606年	1606年
1607年	1607年
1588年	1588年
1608年	1608年
1589年	1589年
1609年	1609年
1590年	1590年
1610年	1610年
1591年	1591年
1611年	1611年
1592年	1592年
1612年	1612年
1593年	1593年
1613年	1613年
1594年	1594年
1614年	1614年
1595年	1595年
1615年	1615年
1596年	1596年
1616年	1616年
1597年	1597年
1617年	1617年
1598年	1598年
1618年	1618年
1599年	1599年
1619年	1619年
1620年	1620年
1621年	1621年
1700年	1700年
1701年	1701年
1622年	1622年
1623年	1623年
1702年	1702年
1624年	1624年
1703年	1703年
1704年	1704年
1625年	1625年
1705年	1705年
1626年	1626年
1627年	1627年
1706年	1706年
1628年	1628年
1707年	1707年
1708年	1708年
1629年	1629年
1630年	1630年
1709年	1709年
1631年	1631年
1710年	1710年
1632年	1632年
1711年	1711年
1633年	1633年
1712年	1712年
1634年	1634年
1713年	1713年
1800年	1800年
1801年	1801年
1714年	1714年
1635年	1635年
詹姆斯·喬伊斯	ジェイムズ・ジョイス
1802年	1802年
1715年	1715年
1636年	1636年
1803年	1803年
1637年	1637年
1716年	1716年
1638年	1638年
1804年	1804年
1717年	1717年
1639年	1639年
1805年	1805年
1718年	1718年
1640年	1640年
1719年	1719年
1806年	1806年
1641年	1641年
1720年	1720年
1807年	1807年
1642年	1642年
1721年	1721年
1808年	1808年
1643年	1643年
1722年	1722年
1809年	1809年
1644年	1644年
1723年	1723年
1810年	1810年
1645年	1645年
1724年	1724年
20世紀	20世紀
1811年	1811年
1646年	1646年
1725年	1725年
1812年	1812年
1647年	1647年
1726年	1726年
1813年	1813年
21世紀	21世紀
1648年	1648年
1727年	1727年
1814年	1814年
1649年	1649年
1728年	1728年
1815年	1815年
1650年	1650年
1729年	1729年
1816年	1816年
19世紀	19世紀
1651年	1651年
1730年	1730年
1817年	1817年
1652年	1652年
1731年	1731年
1818年	1818年
1653年	1653年
1732年	1732年
1819年	1819年
1654年	1654年
1733年	1733年
1820年	1820年
1655年	1655年
1821年	1821年
1734年	1734年
1656年	1656年
1822年	1822年
1735年	1735年
1657年	1657年
1823年	1823年
1736年	1736年
1658年	1658年
1737年	1737年
1824年	1824年
1659年	1659年
1738年	1738年
1825年	1825年
1660年	1660年
1739年	1739年
1826年	1826年
1661年	1661年
1740年	1740年
1827年	1827年
18世紀	18世紀
17世紀	17世紀
16世紀	16世紀
15世紀	15世紀
14世紀	14世紀
13世紀	13世紀
12世紀	12世紀
11世紀	11世紀
享樂主義	快楽主義
李白	李白
圖書館	図書館
唯物主義	唯物論
玻爾	ニールス・ボーア
意識	意識
生物技術	生物工学
秦	秦朝
北大西洋公約組織	北大西洋条約機構
居里夫人	マリ・キュリー
諾貝爾獎	ノーベル賞
秦始皇	始皇帝
中東	中東
伊麗莎白一世	エリザベス1世
漢	漢
劉徹	武帝 (漢)
聖女貞德	ジャンヌ・ダルク
所霍利茲	ソポクレス
托爾斯泰	レフ・トルストイ
圖靈	アラン・チューリング
馬克思主義	マルクス主義
凍嘴	接吻
元	元 (王朝)
伊戈·式査溫斯基	イーゴリ・ストラヴィンスキー
朱澤魄·渥帝	ジュゼッペ・ヴェルディ
拿可·卡帖	ジャック・カルティエ
哥倫布	クリストファー・コロンブス
庫克船長	ジェームズ・クック
伊本·巴杜他	イブン・バットゥータ
鄭和	鄭和
大堡礁	グレート・バリア・リーフ
巴拿馬運河	パナマ運河
晉	晋 (王朝)
南冰洋	南極海
司馬熾	懐帝 (西晋)
耳刀	耳
鼻公	鼻
眼睛	目
羊	ヒツジ
象	ゾウ
隋	隋
李純祐 (西夏)	桓宗 (西夏)
宋	宋 (王朝)
忽必烈	クビライ
娘	母親
雪	雪
爺	父親
細伢子	子供
1828年	1828年
1829年	1829年
1741年	1741年
1662年	1662年
1742年	1742年
1830年	1830年
1663年	1663年
1831年	1831年
1743年	1743年
1664年	1664年
1665年	1665年
1744年	1744年
1832年	1832年
1666年	1666年
