非洲	アフリカ
George W. Bush	ジョージ・W・ブッシュ
Lâ-thot-vì-â	ラトビア
Vû-khiet-làn	ウクライナ
Tshia̍p-khiet	チェコ
Sṳ̂-lo̍k-vì-nì-â	スロベニア
Lò-mâ-nì-â	ルーマニア
Pó-kâ-li-â	ブルガリア
Lò-mâ	ローマ
Mâ-khì-tun	マケドニア共和国
Â-ngì-pâ-nì-â	アルバニア
Khiet-lò-âi-sî-â	クロアチア
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	ボスニア・ヘルツェゴビナ
Â-set-pai-kiông	アゼルバイジャン
Set-phû-lu-sṳ̂	キプロス
Kak-lû-kit-â	グルジア
Hâ-sat-khiet-sṳ̂-thán	カザフスタン
Mí-li-thai	マルタ
Mô-na̍p-kô	モナコ
Mùng-thi̍t-nui-kô-lò	モンテネグロ
Sṳn Mâ-li-nok	サンマリノ
Kú-pâ	キューバ
Eiffel Thiet-thap	エッフェル塔
Yin-thu-nì-sî-â	インドネシア
Wolfgang Amadeus Mozart	ヴォルフガング・アマデウス・モーツァルト
Pi-tô-fûn	ルートヴィヒ・ヴァン・ベートーヴェン
Thú-ngí-khì-ngî	トルコ語
Nàm-fî	南アフリカ共和国
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	ウズベキスタン
Pô-tsṳ-nàm	ポズナン
Fà-sâ	ワルシャワ
Súi	水
Thien-sṳ	テレビ
Chṳ-li	チリ
Yâ-sû	イエス・キリスト
Súi-sên	水星
Li̍t-sṳ́	歴史
Phìn-kó Kûng-sṳ̂	アップル インコーポレイテッド
Kîm-sên	金星
Ngî-ngièn	言語
Muk-sên	木星
Thiên-vòng-sên	天王星
Pu-lie̍t-thap-nì	ブルターニュ
Hói-vòng-sên	海王星
Thiên-vùn-ho̍k	天文学
Sîn-kâ-po	シンガポール
Khô-ho̍k	科学
Montréal	モントリオール
Lie̍t-kî-tûn-sṳ-tên	リヒテンシュタイン
Kiam-khiâu	ケンブリッジ
Thi-ngi-chhṳ Sṳ-kie Thai-chan	第二次世界大戦
Cologne	ケルン
Kak-tên-nì-â	グディニャ
Sṳ̍p-chhiet-chhiâng	シュチェチン
Sṳ-ho̍k	数学
Lâ-tên-ngî	ラテン語
Pâ-lìm	バーレーン
Â-mî-nì-â	アルメニア
Set-ngì-vì-â	セルビア
Ngie̍t-khiù	月
Àu-thai-li-â	オーストラリア
Vu̍t-lî-ho̍k	物理学
Â-kîn-thìn	アルゼンチン
Pi-lû	ペルー
Sâng-vu̍t-ho̍k	生物学
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	朝鮮民主主義人民共和国
Kán-pu-chhài	カンボジア
Khiúng-liùng	恐竜
Yî-sṳ̂-làn-kau	イスラム教
Lech Wałęsa	レフ・ヴァウェンサ
Lin-é	車輪
Lyon	リヨン
Êu-chû Lièn-mèn	欧州連合
Rhône-Alpes	ローヌ＝アルプ地域圏
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	女性
Khiûng-tsiâu	バナナ
Fâ	花
Mâ-lî-â-na̍p-hói	マリアナ海溝
Chû-mu̍k-lòng-mâ-fûng	エベレスト
Sàng-sṳ	都市
Nâ-pho-lùn yit-sṳ	ナポレオン・ボナパルト
Ngit-tèu	太陽
Pâ-sṳ-tet	ルイ・パスツール
大洋洲	オセアニア
Thai-yòng Hì	太陽系
Pô-lò-tit-hói	バルト海
Ngâ-chhṳ	歯
Khîn	水素
Hoi (氦)	ヘリウム
Angela Merkel	アンゲラ・メルケル
Lî	リチウム
Phì	ベリリウム
Si	本
Ngit	日
Ngièn	年
Sṳ-ki	世紀
Lò-tsṳ (Pô-làn)	ウッチ
Khà-thok-vì-chṳ	カトヴィツェ
Ngie̍t-sû-fû	ジェシュフ
Phìn	ホウ素
Thàn	炭素
Tham	窒素
Yòng	酸素
Hàng-sên	惑星
Yîm-ngo̍k	音楽
Rennes	レンヌ
Mo̍k-sṳ̂-khô	モスクワ
Fuk	フッ素
Yi-thai-li-ngî	イタリア語
Nái	ネオン
Sṳn Pí-tet-páu	サンクトペテルブルク
Na̍p	ナトリウム
北	北
Mî	マグネシウム
Lî (鋁)	アルミニウム
Néu Sî-làn	ニュージーランド
南	南
Yin-thu	インド
Si̍t	ケイ素
Fap	フランシウム
Lìn	リン
Thiet	鉄
Tûng-kâ	トンガ
西	西
Liù-vòng	硫黄
東	東
Liu̍k	塩素
Pâ-pu-â Néu-kí-nui-â	パプアニューギニア
Vî-lièn Sâ-sṳ-pí-â	ウィリアム・シェイクスピア
Â (氬)	アルゴン
Kap	カリウム
Koi	カルシウム
Yèn	鉛
Mùng-kú-koet	モンゴル国
Khong (鈧)	スカンジウム
Thai	チタン
Genghis Khan	チンギス・カン
Fàm	バナジウム
Mien-yîn	メイン州
Kok	クロム
Mâ	ウマ
Thûng-vu̍t	動物
Sû-li-nàm	スリナム
Màng	マンガン
Pâ-lâ-kûi	パラグアイ
Koi-â-nâ	ガイアナ
Ngi-su̍t	芸術
Lòi	レニウム
Kô-lùn-pí-â	コロンビア
Kû	コバルト
Vû	タングステン
Ngiap (鎳)	ニッケル
Fu̍t-kau	仏教
Pô-li-vì-â	ボリビア
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	トリニダード・トバゴ
Chhṳ̍t-vu̍t	植物
Sîn	亜鉛
Néu Hàn-pu-ha	ニューハンプシャー州
Pí-â-vùi-sṳ̂-thok-khiet	ビャウィストク
Ngà-mâi-kâ	ジャマイカ
Mà-sat-chû-set	マサチューセッツ州
Drenthe-sén	ドレンテ州
Overijssel-sén	オーファーアイセル州
Kûa-thi-mâ-là	グアテマラ
Gelderland-sén	ヘルダーラント州
Pâ-hâ-mâ	バハマ
Không-nái-tí-khiet-chû	コネチカット州
Kiê-é	ニワトリ
Ha-vî-yî	ハワイ州
Fùng-tû-lâ-sṳ̂	ホンジュラス
Tô-mí-nì-kâ	ドミニカ国
Tô-mí-nì-kâ Khiung-fò-koet	ドミニカ共和国
Kâ-chû (Thung-vu̍t)	ブタ
Hói-thi	ハイチ
Sat-ngì-ngá-tô	エルサルバドル
Yî-lóng	イラン
Yî-là-khiet	イラク
Â-lâ-sṳ̂-kâ	アラスカ州
Kô-sṳ̂-tha̍t Lì-kâ	コスタリカ
Yî-set-lie̍t	イスラエル
Pâ-nâ-mâ	パナマ
Ya̍p-mùn	イエメン
Phiang-thu̍k	ウイルス
Pô-làn-ngî	ポーランド語
Yok-tan	ヨルダン
Nì-kâ-lâ-kûa	ニカラグア
Fu-lò-lî-tha̍t	フロリダ州
Kit-ngí-kit-sṳ̂-thán	キルギス
Â-li-sông-ná	アリゾナ州
Khô-vî-thi̍t	クウェート
Liàu-koet	ラオス
Lì-pâ-nun	レバノン
O-le̍t-kông	オレゴン州
Mâ-ngì-thoi-fû	モルディブ
Yù-thâ	ユタ州
Mâ-lòi-sî-â	マレーシア
Mién-thien	ミャンマー
Nì-pok	ネパール
Â-man	オマーン
Pâ-kî-sṳ̂-thán	パキスタン
Khà-tha̍t	カタール
Mióng-khiù	テニス
Sâ-vû-thi Â-lâ-pak	サウジアラビア
Sṳ̂-lî-làn-khà	スリランカ
Si-li-â	シリア
Kâ	ガリウム
Thap-kit-khiet-sṳ̂-thán	タジキスタン
中華民國	中華民国
YouTube	YouTube
Châ	ゲルマニウム
Thai-koet	タイ王国
Sṳ̂n	ヒ素
Thú-khû-man-sṳ̂-thán	トルクメニスタン
Abakan	アバカン
Sî	セレン
Yî	イリジウム
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	アラブ首長国連邦
Tshiù (溴)	臭素
Pha̍k (鉑)	白金
Ye̍t-nàm	ベトナム
Thai-hòn Mìn-koet	大韓民国
Khiet	クリプトン
Â-fu-hon	アフガニスタン
J. R. R. Tolkien	J・R・R・トールキン
Lù	ルビジウム
Kîm	金
Men-kâ-lâ-koet	バングラデシュ
Ufa	ウファ
Ôn-kô-lâ	アンゴラ
Vùn-lòi	ブルネイ
Kúng	水銀
Fî-li̍t-pîn	フィリピン
Thò	タリウム
Ngie-sat-khiet Ngiù-tun	アイザック・ニュートン
Albert Einstein	アルベルト・アインシュタイン
Sṳ̂	ストロンチウム
Yet	イットリウム
Pit	ビスマス
Vòng-set	黄色
Tsan-pí-â	ザンビア
Sîn-pâ-pu-vî	ジンバブエ
北京	北京市
Tuva Khiung-fò-koet	トゥヴァ共和国
Pok-tshṳ-ngá-na̍p	ボツワナ
Pho (釙)	ポロニウム
Bayern	バイエルン州
Baden-Württemberg	バーデン＝ヴュルテンベルク州
Ngo (砈)	アスタチン
Lòi-sò-thok	レソト
Mâ-tha̍t-kâ-sṳ̂-kâ	マダガスカル
Mâ-là-vî	マラウイ
Stuttgart	シュトゥットガルト
Màu-li-thap-nì-â	モーリタニア
Pô-làn-ngìn	ポーランド人
Mo̍k-sông-pí-khiet	モザンビーク
Na̍p-mí-pí-â	ナミビア
Nai-khi̍p-li-â	ナイジェリア
Ko	ジルコニウム
Nì	ニオブ
Yû-li-vû-sṳ̂ Khái-sat	ガイウス・ユリウス・カエサル
Sṳ̂-vî-sṳ-làn	スワジランド
Muk	モリブデン
Thap	テクネチウム
Hamburg	ハンブルク
Thoi-chhia	代謝
Miên-yi̍t Hì-thúng	免疫系
Lièn-ha̍p-koet	国際連合
Sîm-chhong	心臓
Thèu-nó	脳
Phì-fû	皮膚
Ló	ロジウム
Làm-set	青
Pâ	パラジウム
Ngiùn	銀
Kak	カドミウム
Yîn	インジウム
Siak	スズ
Yu	ウラン
Thi (銻)	アンチモン
Ti	テルル
Pu	プルトニウム
Tièn	ヨウ素
Nai	ネプツニウム
Set	セシウム
Phù	プロトアクチニウム
Pi	バリウム
Thú	トリウム
Kap (鉿)	ハフニウム
Than (鉭)	タンタル
Luì	ラジウム
Tûng	ラドン
Alsace	アルザス地域圏
Auvergne	オーヴェルニュ地域圏
Ôn-tet-là-pâng	アーンドラ・プラデーシュ州
Me̍t-hiet-kîn	ミシガン州
Burgundy	ブルゴーニュ地域圏
Aquitaine	アキテーヌ地域圏
Schleswig-Holstein	シュレースヴィヒ＝ホルシュタイン州
Hâ Saxony	ニーダーザクセン州
Pet Rhine-Westphalia	ノルトライン＝ヴェストファーレン州
Saxony	ザクセン州
Yî-li-nò	イリノイ州
Thuringia	テューリンゲン州
Saxony-Anhalt	ザクセン＝アンハルト州
Pet Tha̍t-khô-thâ	ノースダコタ州
Brandenburg	ブランデンブルク州
Bremen-chû	ブレーメン州
Nàm Tha̍t-khô-thâ	サウスダコタ州
Mùng-thai-nâ	モンタナ州
Fài-ngò-mìn	ワイオミング州
Yâ-lu-sat-lâng	エルサレム
Oi-tha̍t-hòt	アイダホ州
Fà-sṳn-tun	ワシントン州
Lù (鑪)	ラザホージウム
Nui-fà-tha̍t	ネバダ州
Hàn (𨧀)	ドブニウム
Hí (𨭎)	シーボーギウム
Yin-thu-yòng	インド洋
Khô-sò-vok	コソボ
Kâ-le̍t-pí-hói	カリブ海
Pô (𨨏)	ボーリウム
Het (𨭆)	ハッシウム
Phan Kî-vùn	潘基文
Ma̍k (䥑)	マイトネリウム
Khô-lò-là-tô	コロラド州
Tha̍t	ダームスタチウム
Siau-pâng	フレデリック・ショパン
Lùn	レントゲニウム
Kô (鎶)	コペルニシウム
分類:Chú-yeu fûn-lui	Category:主要カテゴリ
Chi-kâ-kô	シカゴ
Arnhem	アーネム
Tûng-kui	冬
Sî-pân-ngà-ngî	スペイン語
Fî-là-thiet-fî	フィラデルフィア
Tî-tû	クモ
Hèu-è	サル
Kîm-tshièn	貨幣
Vì-kit-nì-â	バージニア州
Sî Vì-kit-nì-â	ウェストバージニア州
Tshiâng-tséu	トウガラシ
Néu-yok-chû	ニューヨーク州
Sṳ (鈰)	セリウム
Phú	プラセオジム
Lò-tet-tó	ロードアイランド州
Ńg	ネオジム
Khûn-chhùng	昆虫
Mâ-lî-làn	メリーランド州
Thi̍t-lâ-ngá	デラウェア州
Yû (銪)	ユウロピウム
Ngò-hài-ngò	オハイオ州
Vì-kit-ngì	ウェルギリウス
Machiavelli	ニッコロ・マキャヴェッリ
Pîn-sé-fap-nì-â	ペンシルベニア州
Uetersen	ユーテルゼン
O-kú-sṳ̂-tû	アウグストゥス
Néu Chhe̍t-sî-chû	ニュージャージー州
Fûn-làn-ngî	フィンランド語
Yin-thi-ôn-na̍p	インディアナ州
Vì-sṳ̂-pha-siên	ウェスパシアヌス
Thù-là-chṳ̂n	トラヤヌス
Hâ-tet-liòng	ハドリアヌス
Khièu-tshṳ-â	ジョージア州
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	マルクス・アウレリウス・アントニヌス
Zagreb	ザグレブ
Tet-khiet-sat-sṳ̂	テキサス州
Thai-mí-ngì-na̍p-tet-pâng	タミル・ナードゥ州
Pet Khà-lò-lòi-na̍p	ノースカロライナ州
Nàm Khà-lò-lòi-na̍p	サウスカロライナ州
Loire-sén	ロワール川
Pâ-set-lò-nâ	バルセロナ
Vòng-lî	パイナップル
Me̍t-sî-sî-pí	ミシシッピ州
Thièn-na̍p-sî	テネシー州
Néu Me̍t-sî-kô	ニューメキシコ州
Mìn-nì-sû-tha̍t	ミネソタ州
Vî-sṳ̂-không-sîn	ウィスコンシン州
Oi-hò-fà	アイオワ州
Nui-pu-lâ-sṳ̂-kâ	ネブラスカ州
Khâm-sat-sṳ̂	カンザス州
Yin-thi-ngî	ヒンディー語
Me̍t-sû-lî	ミズーリ州
Lu-yi-sṳ̂-ôn-ná	ルイジアナ州
Khén-thap-kî	ケンタッキー州
Â-khén-set	アーカンソー州
Neil Armstrong	ニール・アームストロング
O-khiet-lâ-hò-mâ	オクラホマ州
Pet-hói	北海
Mo̍k-sṳ̂-khô-chû	モスクワ州
Kiel	キール (ドイツ)
Schwerin	シュヴェリーン
Potsdam	ポツダム
Hanover	ハノーファー
Düsseldorf	デュッセルドルフ
Mainz	マインツ
Wiesbaden	ヴィースバーデン
Saarbrücken	ザールブリュッケン
Mu-nì-het	ミュンヘン
Erfurt	エアフルト
Dresden	ドレスデン
Kaliningrad-chû	カリーニングラード州
Murmansk-chû	ムルマンスク州
Kak-than-sṳ̂-khiet	グダニスク
Fap-làn-khiet-fuk	フランクフルト・アム・マイン
Fut-lò-tshṳ-ngá-fû	ヴロツワフ
Làn	ランタン
Ki (鉕)	プロメチウム
Sân	サマリウム
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	アチェ州
Nga̍t (釓)	ガドリニウム
Thi̍t (鋱)	テルビウム
Tit (鏑)	ジスプロシウム
Sṳn-kîn	聖書
Fó	ホルミウム
Ngí (鉺)	エルビウム
Tiû	ツリウム
Yi	イッテルビウム
Liu	ルテチウム
Hò-nui-sṳ	ハノイ
Chṳ̂n Yâ-sû Kau-fi	真イエス教会
Yîn-ngî	英語
Màn-kuk	バンコク
Kit-lùng-po	クアラルンプール
Pâng-kâ Vú-lî-thung-sén	バンカ・ブリトゥン州
Thòi-pet-sṳ	台北市
Mî (鋂)	アメリシウム
Arkhangelsk-chû	アルハンゲリスク州
Khiu̍k	キュリウム
Thùng-hói-sṳ	ドンホイ
Concepción	コンセプシオン (チリ)
Pet (鉳)	バークリウム
Khà (鉲)	カリホルニウム
Mìn-kú-lû-sén	ブンクル州
Oi	アインスタイニウム
Fi	フェルミウム
Mùn	メンデレビウム
Na	ノーベリウム
Ontario-sén	オンタリオ州
Lò	ローレンシウム
Karelia Khiung-fò-koet	カレリア共和国
Końskowola	コィンスコヴォラ
2002-ngièn	2002年
2008-ngièn	2008年
Charles de Gaulle	シャルル・ド・ゴール
Cham-pî-sén	ジャンビ州
Komi Khiung-fò-koet	コミ共和国
Nâm-póng-sén	ランプン州
Pet Sû-mùn-tap-lia̍p-sén	北スマトラ州
Syktyvkar	スィクティフカル
Québec-sṳ	ケベック・シティー
Nenets Chhṳ-chhṳ-khî	ネネツ自治管区
Liàu-nui-sén	リアウ州
Leningrad-chû	レニングラード州
Pskov-chû	プスコフ州
Liàu-nui Khiùn-tó-sén	リアウ諸島州
Nizhny Novgorod-chû	ニジニ・ノヴゴロド州
Nàm Sû-mùn-tap-lia̍p-sén	南スマトラ州
Lò-mâ Ti-koet	ローマ帝国
Mì-ngiôn Kûng-sṳ̂	マイクロソフト
Tver-chû	トヴェリ州
Khù-lû-fû	クルフ
Fa-ho̍k	化学
Smolensk-chû	スモレンスク州
Yaroslavl-chû	ヤロスラヴリ州
Kostroma-chû	コストロマ州
Ivanovo-chû	イヴァノヴォ州
Arnold Schwarzenegger	アーノルド・シュワルツェネッガー
Chiuk-khiù	サッカー
Ryazan-chû	リャザン州
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	西スマトラ州
Tula-chû	トゥーラ州
IPad	IPad
Mâ-tet-lî	マドリード
Bryansk-chû	ブリャンスク州
Michael Jackson	マイケル・ジャクソン
Kaluga-chû	カルーガ州
Loire-Atlantique-sén	ロワール＝アトランティック県
Ain-sén	アン県
Allier-sén	アリエ県
Khâm-phì-là	キャンベラ
Sông Alpes-sén	オート＝アルプ県
Oryol-chû	オリョール州
Sit-nì	シドニー
Alpes-de-Haute-Provence-sén	アルプ＝ド＝オート＝プロヴァンス県
Liu̍k-set	緑
Alpes-Maritimes-sén	アルプ＝マリティーム県
Hâ-tet-sùn-hò	ハドソン川
Me̍t-ngì-pún	メルボルン
Fùng-set	赤
Ardèche-sén	アルデシュ県
Jena	イェーナ
Kursk-chû	クルスク州
Ariège-sén	アリエージュ県
Aude-sén	オード県
Aveyron-sén	アヴェロン県
Sîn Nàm Vî-ngì-sṳ̂-chû	ニューサウスウェールズ州
Bouches-du-Rhône-sén	ブーシュ＝デュ＝ローヌ県
Àu-thai-li-â Sú-tû Liâng-thi	オーストラリア首都特別地域
Cantal-sén	カンタル県
Belgorod-chû	ベルゴロド州
Côte-d'Or-sén	コート＝ドール県
Côtes-d'Armor-sén	コート＝ダルモール県
Drôme-sén	ドローム県
Finistère-sén	フィニステール県
Voronezh-chû	ヴォロネジ州
Sû-mùn-tap-lia̍p	スマトラ島
Lipetsk-chû	リペツク州
Van-tan-sén	バンテン州
Chûng Cháu-ôa-sén	中部ジャワ州
Fùi-sên	彗星
Rostov-chû	ロストフ州
Tûng Cháu-ôa-sén	東ジャワ州
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	ジャカルタ
Sî Cháu-ôa-sén	西ジャワ州
Adygea Khiung-fò-koet	アディゲ共和国
Ngit-ngiâ Thi-fông Thi̍t-khî	ジョグジャカルタ特別州
Gera	ゲーラ
Maykop	マイコープ
Cháu-ôa-tó	ジャワ島
Kâ-lî-man-tân-chû	カリマンタン
Séu Sùn-thâ Khiùn-tó	小スンダ列島
Sû-lâ-vî-sî-tó	スラウェシ島
Mô-lu̍k-kâ Khiùn-tó	モルッカ諸島
Chûng Kâ-lî-man-tân-sén	中部カリマンタン州
Tûng Kâ-lî-man-tân-sén	東カリマンタン州
Nàm Kâ-lî-man-tân-sén	南カリマンタン州
Kâ-li-sî-â	ガリシア州
Sî Kâ-lî-man-tân-sén	西カリマンタン州
Thai-ho̍k	大学
Pretoria	プレトリア
Chok-khiù	卓球
Â-sṳ̂-thù-lî-â-sṳ̂	アストゥリアス州
Wikipedia:Sandbox	Wikipedia:サンドボックス
Astrakhan-chû	アストラハン州
Kham-thap-pu-lî-â	カンタブリア州
Kalmykia Khiung-fò-koet	カルムイク共和国
Weimar	ヴァイマル
Osasco	オザスコ (サンパウロ州)
Â-là-kung	アラゴン州
Kak-là-sṳ̂-kô	グラスゴー
Thùng-hói Kî-chhòng	ドンホイ空港
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	武陵源
分類:Thòi-vân li̍t-sṳ́	Category:台湾の歴史
Curitiba	クリチバ
Chloë Grace Moretz	クロエ・グレース・モレッツ
Khûng-chṳ́	孔子
Corbin Bleu	コービン・ブルー
分類:Sṳ-ho̍k	Category:数学
分類:Ngìn-kûng ngî-ngièn	Category:人工言語
Pâ-lî-sén	バリ島
Mî-kîm	アメリカ合衆国ドル
Thi-chûng-hói	地中海
Hông-chû-sṳ	杭州市
Kî-tuk-kau	キリスト教
Tûng Nú-sâ Tên-kâ-là-sén	東ヌサ・トゥンガラ州
Sî Nú-sâ Tên-kâ-là-sén	西ヌサ・トゥンガラ州
Chûng Sû-lâ-vî-sî-sén	中部スラウェシ州
Kô-lùn-tá-lo̍k-sén	ゴロンタロ州
Pet Sû-lâ-vî-sî-sén	北スラウェシ州
Tûng-nàm Sû-lâ-vî-sî-sén	南東スラウェシ州
Nàm Sû-lâ-vî-sî-sén	南スラウェシ州
Sî Sû-lâ-vî-sî-sén	西スラウェシ州
Vò-é	米
Mâ-lû-kú-sén	マルク州
Pet Mâ-lû-kú-sén	北マルク州
Pâ-pu-â-sén	パプア州
Sî Pâ-pu-â-sén	西パプア州
Dagestan Khiung-fò-koet	ダゲスタン共和国
Sú-tû	首都
Monzón	モンソン
Phù-thò-ngà-ngî	ポルトガル語
Ngie̍t	月 (暦)
Mustafa Kemal Atatürk	ムスタファ・ケマル・アタテュルク
Makhachkala	マハチカラ
Chechnya Khiung-fò-koet	チェチェン共和国
Grozny	グロズヌイ
Almazán	アルマサン
Vòng Hien-fàm	黄現ハン
Ingushetia Khiung-fò-koet	イングーシ共和国
Magas	マガス
Pet Ossetia–Alania Khiung-fò-koet	北オセチア共和国
Kabardino-Balkaria Khiung-fò-koet	カバルダ・バルカル共和国
Tson-sa̍k	ダイヤモンド
Bill Gates	ビル・ゲイツ
Ngi̍t-ngî	日本語
Pak-khô-chhiòn-sû	百科事典
頭頁	メインページ
Karachay-Cherkessia Khiung-fò-koet	カラチャイ・チェルケス共和国
Saratov	サラトフ
Saratov-chû	サラトフ州
Orenburg-chû	オレンブルク州
Mordovia Khiung-fò-koet	モルドヴィア共和国
Saransk	サランスク
Yâ-khiù	野球
Làm-khiù	バスケットボール
Kirov-chû	キーロフ州
Udmurtia Khiung-fò-koet	ウドムルト共和国
Sî-pak-li-â	シベリア
Mari El Khiung-fò-koet	マリ・エル共和国
Yoshkar-Ola	ヨシュカル・オラ
Stellenbosch	ステレンボッシュ
Sverdlovsk-chû	スヴェルドロフスク州
Cape Town	ケープタウン
Chuvash Khiung-fò-koet	チュヴァシ共和国
Durban	ダーバン
Cheboksary	チェボクサル
Tat-tat-sṳ̂-thán Khiung-fò-koet	タタールスタン共和国
Penza-chû	ペンザ州
Là-fî-ngì	ラファエロ・サンティ
Pí-tet Lû-pún-sṳ̂	ピーテル・パウル・ルーベンス
Ulyanovsk-chû	ウリヤノフスク州
Gung-gung-hi-tsaa	バス (交通機関)
Kâ-thai-lò-nì-â	カタルーニャ州
Bashkortostan Khiung-fò-koet	バシコルトスタン共和国
Chelyabinsk-chû	チェリャビンスク州
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	バレンシア州
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	カスティーリャ・レオン州
Kurgan-chû	クルガン州
Mô Chhe̍t-tûng	毛沢東
Tyumen-chû	チュメニ州
Omsk-chû	オムスク州
Thai-mí-ngì-ngî	タミル語
Chet-ho̍k	哲学
分類:Candidates for speedy deletion	Category:即時削除対象のページ
Altai Khiung-fò-koet	アルタイ共和国
Kòng-khìm	ピアノ
Gorno-Altaysk	ゴルノ＝アルタイスク
Kemerovo-chû	ケメロヴォ州
Hebe Camargo	ヘーペ・カマルゴ
Chṳ̂-pún chú-ngi	資本主義
Koet-kâ	国
Mìn-chhu̍k	国民
Khanty-Mansi Chhṳ-chhṳ-khî	ハンティ・マンシ自治管区・ユグラ
Yamalo-Nenets Chhṳ-chhṳ-khî	ヤマロ・ネネツ自治管区
Montpellier	モンペリエ
分類:Thiên-vùn-ho̍k	Category:天文学
Khakassia Khiung-fò-koet	ハカス共和国
Irkutsk-chû	イルクーツク州
Sakha Khiung-fò-koet	サハ共和国
Khiet-lò-âi-sî-â-ngî	クロアチア語
Hon-pó	ハンバーガー
Buryatia Khiung-fò-koet	ブリヤート共和国
Vû-làn Vû-tet	ウラン・ウデ
Amur-chû	アムール州
Ngi-sṳ̍p Sṳ-ki	20世紀
Gotha	ゴータ
Dijon	ディジョン
Kâ-thai-lò-nì-â-ngî	カタルーニャ語
Nordhausen	ノルトハウゼン
Kit-lò-na̍p-sén	ジローナ
Eisenach	アイゼナハ
Se-pâu Sâng-vu̍t-ho̍k	細胞生物学
Sṳ-kie Ngiùn-hòng Si̍p-thòn	世界銀行
A-la-pak Liên-mên	アラブ連盟
Mìn-tsú Tsú-ngi	民主主義
Chhîn-chhèu (秦朝)	秦朝
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	北大西洋条約機構
Chhìn Sṳ Fòng	始皇帝
Hon-chhèu	漢
Hon Vú-ti Liù Chha̍t	武帝 (漢)
Sâng-vu̍t	生物
Kiûn-chú-chṳ	君主制
Khiung-fò-koet	共和制
Yí-mô-khiù	バドミントン
Ngièn-chhèu	元 (王朝)
