Áfríkà	アフリカ
110	110年
111	111年
137	137年
138	138年
122	122年
140	140年
809	809年
167	167年
665	665年
776	776年
763	763年
769	769年
667	667年
529	529年
777	777年
788	788年
671	671年
772	772年
432	432年
231	231年
237	237年
239	239年
Ana Ivanovic	アナ・イバノビッチ
130	130年
Caroline Wozniacki	キャロライン・ウォズニアッキ
Àsìá ilẹ̀ Ìlàòrùn Timor	東ティモールの国旗
226	226年
207	207年
475	475年
Melanie Oudin	メラニー・ウダン
454	454年
495	495年
Petra Kvitová	ペトラ・クビトバ
206	206年
Tẹ́nìs ní Ìdíje Òlímpíkì Ìgbà Oru 2012	ロンドンオリンピック (2012年) におけるテニス競技
468	468年
461	461年
460	460年
194	194年
210	210年
225	225年
311	311年
220	220年
541	541年
642	642年
Ẹ̀wádún 390	390年代
313	313年
180	180年
794	794年
587	587年
530	530年
609	609年
497	497年
540	540年
428	428年
548	548年
422	422年
549	549年
457	457年
478	478年
253	253年
467	467年
458	458年
Ẹ̀wádún 350	350年代
158	158年
157	157年
164	164年
124	124年
113	113年
121	121年
106	106年
551	551年
494	494年
320	320年
242	242年
291	291年
48	48年
97	97年
56	56年
93	93年
57	57年
Jamestown, Saint Helena	ジェームズタウン (セントヘレナ)
Polinésíà Fránsì	フランス領ポリネシア
503	503年
510	510年
509	509年
474	474年
484	484年
576	576年
Hamilton, Bẹ̀rmúdà	ハミルトン (バミューダ)
493	493年
479	479年
Plymouth, Montserrat	プリマス (モントセラト)
287	287年
The Valley, Àngúíllà	バレー (アンギラ)
407	407年
485	485年
547	547年
Brades	ブレイズ (モントセラト)
546	546年
544	544年
Patti LaBelle	パティ・ラベル
537	537年
Dọ́là Họ́ng Kọng	香港ドル
535	535年
502	502年
527	527年
508	508年
525	525年
613	613年
618	618年
617	617年
608	608年
645	645年
621	621年
606	606年
623	623年
604	604年
603	603年
626	626年
619	619年
634	634年
Erékùṣù Norfolk	ノーフォーク島
630	630年
Erékùṣù Kérésìmesì	クリスマス島 (オーストラリア)
614	614年
505	505年
446	446年
791	791年
Florence Griffith-Joyner	フローレンス・グリフィス＝ジョイナー
557	557年
656	656年
657	657年
659	659年
651	651年
676	676年
670	670年
652	652年
673	673年
654	654年
647	647年
812	812年
669	669年
792	792年
649	649年
895	895年
756	756年
663	663年
779	779年
662	662年
684	684年
773	773年
757	757年
435	435年
790	790年
437	437年
433	433年
764	764年
426	426年
781	781年
425	425年
429	429年
423	423年
765	765年
235	235年
233	233年
223	223年
224	224年
216	216年
219	219年
254	254年
272	272年
208	208年
175	175年
170	170年
171	171年
172	172年
58	58年
59	59年
139	139年
114	114年
134	134年
135	135年
179	179年
142	142年
96	96年
181	181年
146	146年
145	145年
183	183年
182	182年
184	184年
324	324年
589	589年
Odídẹrẹ́	オウム目
521	521年
92	92年
597	597年
329	329年
Kraków	クラクフ
133	133年
413	413年
258	258年
259	259年
196	196年
236	236年
789	789年
332	332年
631	631年
487	487年
638	638年
473	473年
176	176年
143	143年
643	643年
523	523年
215	215年
148	148年
247	247年
424	424年
641	641年
Dwyane Wade	ドウェイン・ウェイド
492	492年
639	639年
256	256年
441	441年
131	131年
191	191年
450	450年
612	612年
635	635年
611	611年
534	534年
488	488年
607	607年
524	524年
282	282年
472	472年
471	471年
490	490年
316	316年
Ìjọba àìlólórí	無政府状態
797	797年
511	511年
295	295年
598	598年
303	303年
250	250年
515	515年
512	512年
418	418年
333	333年
294	294年
217	217年
277	277年
578	578年
312	312年
Ìròpọ̀	加法
284	284年
283	283年
241	241年
243	243年
262	262年
498	498年
336	336年
334	334年
Apá Plateau	プラトー県
266	266年
261	261年
470	470年
349	349年
271	271年
275	275年
292	292年
296	296年
345	345年
431	431年
Ẹ̀wádún 380	380年代
304	304年
550	550年
586	586年
588	588年
554	554年
229	229年
583	583年
265	265年
263	263年
585	585年
582	582年
556	556年
420	420年
280	280年
581	581年
558	558年
302	302年
309	309年
353	353年
335	335年
367	367年
344	344年
245	245年
290	290年
449	449年
308	308年
255	255年
439	439年
319	319年
318	318年
299	299年
419	419年
416	416年
338	338年
310	310年
315	315年
359	359年
360	360年
273	273年
286	286年
288	288年
278	278年
455	455年
577	577年
575	575年
482	482年
486	486年
580	580年
567	567年
564	564年
561	561年
328	328年
325	325年
317	317年
574	574年
566	566年
249	249年
348	348年
442	442年
443	443年
267	267年
244	244年
248	248年
343	343年
562	562年
417	417年
268	268年
Èdè Fenda	ヴェンダ語
590	590年
269	269年
499	499年
409	409年
405	405年
406	406年
403	403年
414	414年
411	411年
412	412年
560	560年
592	592年
Vladimír Špidla	ヴラジミール・シュピドラ
Kẹ́tẹ́kẹ́tẹ́ abilà	シマウマ
276	276年
Mọ́ṣálásí	モスク
314	314年
323	323年
366	366年
Akon	エイコン
362	362年
545	545年
531	531年
514	514年
513	513年
539	539年
538	538年
519	519年
516	516年
520	520年
522	522年
528	528年
506	506年
526	526年
507	507年
Valery Leontiev	ヴァレリー・レオンティエフ
214	214年
213	213年
212	212年
228	228年
227	227年
149	149年
174	174年
Àsìá ilẹ̀ Gibraltar	ジブラルタルの旗
Èdè Bàlóṣì	バローチー語
189	189年
ISO 2108	ISBN
199	199年
Bálíníìsì	バリ語
Èdè Shíkọmọ	コモロ語
141	141年
132	132年
125	125年
123	123年
Vincent du Vigneaud	ヴィンセント・デュ・ヴィニョー
147	147年
Àwọn èdè Bàntú	バントゥー語群
144	144年
198	198年
178	178年
Sádíìkì	チャド語派
177	177年
Ositiro-Esiatiiki	オーストロアジア語族
187	187年
195	195年
Àsìá ilẹ̀ Arméníà	アルメニアの国旗
186	186年
347	347年
620	620年
Drake	ドレイク (エンターテイナー)
624	624年
Kusitiiki	クシ語派
Leonardo Mayer	レオナルド・マイエル
605	605年
629	629年
Èdè Tsàmórò	チャモロ語
616	616年
615	615年
644	644年
646	646年
633	633年
637	637年
436	436年
434	434年
293	293年
692 Hippodamia	ヒッポダミア (小惑星)
427	427年
185	185年
Ẹ̀wádún 360	360年代
321	321年
327	327年
430	430年
Leon Trotsky	レフ・トロツキー
447	447年
569	569年
568	568年
444	444年
796	796年
Èdè Fúlàní	フラニ語
798	798年
793	793年
685	685年
799	799年
683	683年
274	274年
579	579年
281	281年
306	306年
ISO 639	ISO 639
438	438年
Èdè Java	ジャワ語
297	297年
421	421年
298	298年
351	351年
Èdè Ígbò	イボ語
352	352年
355	355年
95	95年
94	94年
594	594年
542	542年
448	448年
445	445年
305	305年
234	234年
565	565年
381	381年
385	385年
Èdè Kóngò	コンゴ語
553	553年
307	307年
584	584年
346	346年
257	257年
Mọ̀nàmọ́ná	雷
285	285年
Ogun Pẹlopónéssè	ペロポネソス戦争
591	591年
289	289年
Bertrand Russell	バートランド・ラッセル
563	563年
Kalẹdóníà Tuntun	ニューカレドニア
252	252年
Àwọn èdè Niger-Kóngò	ニジェール・コンゴ語族
595	595年
246	246年
Theodore Roosevelt	セオドア・ルーズベルト
596	596年
593	593年
Èdè Sotho Apáàríwá	北ソト語
357	357年
573	573年
Pétérù Mímọ́	ペトロ
Ọmọ Haúsá	ハウサ人
Julian Apostat	フラウィウス・クラウディウス・ユリアヌス
Czechoslovakia	チェコスロバキア
Jules Verne	ジュール・ヴェルヌ
Èdè Sindhi	シンド語
Hollywood	ハリウッド
Marlon Brando	マーロン・ブランド
Èdè Swati	スワジ語
Niue	ニウエ
559	559年
Sẹ̀mítíìkì	セム語派
599	599年
326	326年
Ẹ̀ka:Àwọn èdè ìṣèlànà kọ̀mpútà	Category:プログラミング言語
Yitzhak Rabin	イツハク・ラビン
341	341年
José Gaspar Rodríguez de Francia	ホセ・ガスパル・ロドリゲス・デ・フランシア
322	322年
Ààrẹ ilẹ̀ Paragúáì	パラグアイの大統領
Jovian (Emperor)	ヨウィアヌス
Nathalia Dill	ナタリア・ディル
Justin Bieber	ジャスティン・ビーバー
Mae Jemison	メイ・ジェミソン
Hosni Mubarak	ホスニー・ムバーラク
Gustavia, Saint Barthélemy	グスタビア
386	386年
Èdè Tiv	ティヴ語
Èdè Tswánà	ツワナ語
374	374年
380	380年
Pablo Neruda	パブロ・ネルーダ
Zeus	ゼウス
Cockburn Town	コックバーンタウン
Yasser Arafat	ヤーセル・アラファート
136	136年
Misaki Doi	土居美咲
Èdè Wolof	ウォロフ語
Port-au-Prince	ポルトープランス
Ilẹ̀ọbalúayé Rọ́ṣíà	ロシア帝国
Ìhìnrere	福音書
Woodrow Wilson	ウッドロウ・ウィルソン
Èdè Yorùbá	ヨルバ語
Ẹ̀wádún 370	370年代
Èdè Tsonga	ツォンガ語
Èdè Sotho Apágúúsù	ソト語
Whitney Houston	ホイットニー・ヒューストン
Madison Keys	マディソン・キーズ
New Orleans	ニューオーリンズ
Mošovce	モショヴツェ
Benazir Bhutto	ベーナズィール・ブットー
Shakira	シャキーラ
Filip 2k ilẹ̀ Fránsì	フィリップ2世 (フランス王)
Yunifásítì ìlú Oxford	オックスフォード大学
Mahmoud Ahmadinejad	マフムード・アフマディーネジャード
Boris Yeltsin	ボリス・エリツィン
Gwyneth Paltrow	グウィネス・パルトロー
Aleksandr Solzhenitsyn	アレクサンドル・ソルジェニーツィン
Hirohito	昭和天皇
Al-Kaida	アルカーイダ
Saint Helena	セントヘレナ
382	382年
342	342年
373	373年
372	372年
James A. Garfield	ジェームズ・ガーフィールド
Àsìá ilẹ̀ Líbyà	リビアの国旗
Saint Pierre àti Mìkẹ́lọ̀n	サンピエール島・ミクロン島
Òfin Mẹ́wàá	モーセの十戒
Ẹ̀wádún 1980	1980年代
Johannesburg	ヨハネスブルグ
Ẹ̀wádún 1990	1990年代
Hiroshima	広島市
Albert Camus	アルベール・カミュ
Gulf Pẹ́rsíà	ペルシア湾
Kingston	キングストン (ジャマイカ)
Rudyard Kipling	ラドヤード・キップリング
Àwọn sáyẹ́nsì àwùjọ	社会科学
Sòmálílàndì	ソマリランド
Àkójọ àwọn àmìọ̀rọ̀ ìpè tẹlifónù orílẹ̀-èdè	国際電話番号の一覧
Friedrich Engels	フリードリヒ・エンゲルス
Albuquerque	アルバカーキ
Santo Domingo	サントドミンゴ
Ulysses S. Grant	ユリシーズ・グラント
Elizabeth Taylor	エリザベス・テイラー
Oklahoma City	オクラホマシティ
375	375年
Benjamin Franklin	ベンジャミン・フランクリン
Isaac Asimov	アイザック・アシモフ
Ẹ̀wádún 1970	1970年代
Ẹ̀wádún 2000	2000年代
William McKinley	ウィリアム・マッキンリー
Agatha Christie	アガサ・クリスティ
Àtòjọ àwọn Ààrẹ orílẹ̀-èdè Amẹ́ríkà	歴代アメリカ合衆国大統領の一覧
Gúúsù Georgia àti àwọn Erékùṣù Gúúsù Sandwich	サウスジョージア・サウスサンドウィッチ諸島
Noemi	ノエミ (歌手)
Wilhelm Röntgen	ヴィルヘルム・レントゲン
Grover Cleveland	グロバー・クリーブランド
Ìlú Kuwaiti	クウェート市
Herbert Hoover	ハーバート・フーヴァー
44 SK	紀元前44年
Warren G. Harding	ウォレン・ハーディング
387	387年
Nikita Khrushchev	ニキータ・フルシチョフ
Àwọn Áràbù	アラブ人
World Wrestling Entertainment	WWE
Èdè Ẹdó	エド語
Èdè Efik	エフィク語
Almaty	アルマトイ
242 SK	紀元前242年
Chester A. Arthur	チェスター・A・アーサー
248 SK	紀元前248年
258 SK	紀元前258年
257 SK	紀元前257年
Akadianu	アッカド語
253 SK	紀元前253年
White House	ホワイトハウス
246 SK	紀元前246年
245 SK	紀元前245年
249 SK	紀元前249年
252 SK	紀元前252年
Wallis àti Futuna	ウォリス・フツナ
240 SK	紀元前240年
254 SK	紀元前254年
Àwọn Tatar	タタール
256 SK	紀元前256年
251 SK	紀元前251年
250 SK	紀元前250年
244 SK	紀元前244年
243 SK	紀元前243年
255 SK	紀元前255年
Ẹ̀bùn Àláfíà Nobel	ノーベル平和賞
William Howard Taft	ウィリアム・タフト
Àwọn Ìpínlẹ̀ Orílẹ̀-èdè Amẹ́ríkà	アメリカ合衆国の州
Àwọn Erékùsù Pitcairn	ピトケアン諸島
Benjamin Harrison	ベンジャミン・ハリソン
Rutherford B. Hayes	ラザフォード・ヘイズ
Konrad Emil Bloch	コンラート・ブロッホ
Ẹ̀wádún 1930	1930年代
Gertrude B. Elion	ガートルード・エリオン
Ẹ̀wádún 1960	1960年代
Ẹ̀wádún 1920	1920年代
Èlò	物質
247 SK	紀元前247年
Petr Nečas	ペトル・ネチャス
Baruch Spinoza	バールーフ・デ・スピノザ
Zoroaster	ザラスシュトラ
259 SK	紀元前259年
Som Kirgistani	キルギス・ソム
Kongo	コンゴ (曖昧さ回避)
Polinésíà	ポリネシア
Àwọn Erékùṣù Kókósì	ココス諸島
Àsìá ilẹ̀ Lẹ́bánọ́nì	レバノンの国旗
Mercedes-Benz	メルセデス・ベンツ
Calvin Coolidge	カルビン・クーリッジ
Queensland	クイーンズランド州
Minneapolis	ミネアポリス
Èdè Kánúrí	カヌリ語
The Trial	審判 (小説)
Charles Bronson	チャールズ・ブロンソン
Muhammad Ali	モハメド・アリ
Beyoncé Knowles	ビヨンセ
LeBron James	レブロン・ジェームズ
Bridgetown	ブリッジタウン
Václav Havel	ヴァーツラフ・ハヴェル
Númérì preferred	標準数
St. John's (Ántígúà àti Bàrbúdà)	セントジョンズ
Brigitte Bardot	ブリジット・バルドー
Roseau	ロゾー
Diana Ross	ダイアナ・ロス
Ẹ̀wádún 1950	1950年代
Jane Austen	ジェーン・オースティン
Giordano Bruno	ジョルダーノ・ブルーノ
Hammurabi	ハンムラビ
Aberdeen	アバディーン
Katẹrínì 2k ilẹ̀ Rọ́síà	エカチェリーナ2世
Guglielmo Marconi	グリエルモ・マルコーニ
Íónì	イオン
Ẹ̀rúndún	ミレニアム
Port Moresby	ポートモレスビー
Ìdarapọ̀mọ́ra kẹ́míkà	化学反応
.ru	.ru
.ad	.ad
Ẹ̀wádún 1940	1940年代
Ẹ̀wádún 1900	1900年代
Ẹ̀wádún 1910	1910年代
Vladimir Nabokov	ウラジーミル・ナボコフ
3149 Okudzhava	オクジャワ (小惑星)
Bèbè Ìlàòrùn	ヨルダン川西岸地区
Àwọn Ṣáuáng	チワン族
Àttílà	アッティラ
Aung San Suu Kyi	アウンサンスーチー
Sìnáì	シナイ半島
Ìhìnrere Jòhánù	ヨハネによる福音書
Èdè Ndebele Apágúúsù	南ンデベレ語
Tokelau	トケラウ
Rihanna	リアーナ
Twi	アサンテ方言
Èkánná	爪
Salvador, Bahia	サルヴァドール
Robert De Niro	ロバート・デ・ニーロ
Toshiro Mifune	三船敏郎
Sérbíà àti Montenégrò	セルビア・モンテネグロ
Thomas Mann	トーマス・マン
Baffin Bay	バフィン湾
Òmìnira	独立
José Saramago	ジョゼ・サラマーゴ
Alexander Fleming	アレクサンダー・フレミング
Tom Cruise	トム・クルーズ
Fáráò	ファラオ
AK-47	AK-47
331	331年
Methane	メタン
365	365年
Núkléù átọ̀mù	原子核
379	379年
David Hume	デイヴィッド・ヒューム
.fi	.fi
Luiz Inácio Lula da Silva	ルイス・イナシオ・ルーラ・ダ・シルヴァ
Robert Koch	ロベルト・コッホ
Pírámídì Nínlá ti Gísà	ギザの大ピラミッド
Sindh	シンド州
Central Intelligence Agency	中央情報局
.ae	.ae
.am	.am
.de	.de
.fr	.fr
Pópù Jòhánù Páúlù Èkínní	ヨハネ・パウロ1世 (ローマ教皇)
Ife Ẹ̀yẹ Àgbáyé FIFA 2006	2006 FIFAワールドカップ
Internet Movie Database	インターネット・ムービー・データベース
Cleveland	クリーブランド (オハイオ州)
Samuel Beckett	サミュエル・ベケット
John Michael Talbot	ジョン・マイケル・タルボット
Akrotiri àti Dhekelia	アクロティリおよびデケリア
Klaus Ebner	クラウス・エブナー
Francis Bacon	フランシス・ベーコン (哲学者)
Melanésíà	メラネシア
.af	.af
100 (nọ́mbà)	100
.au	.au
ISO 4217	ISO 4217
Nicole Kidman	ニコール・キッドマン
Pierre Curie	ピエール・キュリー
United Nations Security Council	国際連合安全保障理事会
.cz	.cz
.ag	.ag
Anígunpúpọ̀	多角形
Thomas Hobbes	トマス・ホッブズ
43 SK	紀元前43年
Ogun Gulf Pẹ́rsíà	湾岸戦争
Francisco Solano López	フランシスコ・ソラーノ・ロペス
Bloemfontein	ブルームフォンテーン
.at	.at
Krómósómù	染色体
T. S. Eliot	T・S・エリオット
Milwaukee, Wisconsin	ミルウォーキー
Àwọn èdè Altaic	アルタイ諸語
.us	.us
Natalie Portman	ナタリー・ポートマン
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Ẹ̀bùn Nobel nínú Lítíréṣọ̀	ノーベル文学賞
Masiela Lusha	マシエラ・ルーシャ
Gregor Mendel	グレゴール・ヨハン・メンデル
Akihito	明仁
63 SK	紀元前63年
Herta Müller	ヘルタ・ミュラー
Paraíba	パライバ州
Ẹ̀bùn Nobel nínú Físíksì	ノーベル物理学賞
31 SK	紀元前31年
Arthur Schopenhauer	アルトゥル・ショーペンハウアー
.al	.al
.ar	.ar
Ẹ̀wádún 1840	1840年代
Alexandre Dumas, bàbá	アレクサンドル・デュマ・ペール
William Faulkner	ウィリアム・フォークナー
.az	.az
Àwọn òfin ìmúrìn Newton	ニュートン力学
Romano Prodi	ロマーノ・プローディ
Ẹ̀wádún 1880	1880年代
Nukuʻalofa	ヌクアロファ
Prussia	プロイセン
.cn	.cn
.ee	.ee
Ibà	発熱
4 SK	紀元前4年
Ẹ̀wádún 1890	1890年代
Tony Tan Keng Yam	トニー・タン
.ao	.ao
.bg	.bg
100 SK	紀元前100年
Renminbi	人民元
Minas Gerais	ミナスジェライス州
.jp	.jp
.bd	.bd
.it	.it
8 SK	紀元前8年
Port of Spain	ポートオブスペイン
Bohemia	ボヘミア
John Steinbeck	ジョン・スタインベック
.in	.in
Richard Feynman	リチャード・P・ファインマン
Recep Tayyip Erdoğan	レジェップ・タイイップ・エルドアン
.ie	.ie
Ẹ̀wádún 1830	1830年代
.dk	.dk
Pará	パラー州
Gamal Abdel Nasser	ガマール・アブドゥル＝ナーセル
.bb	.bb
Ptolemy 2k Philadelphus	プトレマイオス2世
Ẹ̀wádún 1800	1800年代
.ca	.ca
Caesarion	カエサリオン
Ptolemy 4k Philopator	プトレマイオス4世
Ptolemy 3k Euergetes	プトレマイオス3世
Antoine Lavoisier	アントワーヌ・ラヴォアジエ
.co	.co
.ba	.ba
Penélope Cruz	ペネロペ・クルス
.ch	.ch
14 SK	紀元前14年
27 SK	紀元前27年
Gaza Strip	ガザ地区
.be	.be
19 SK	紀元前19年
Jack Nicholson	ジャック・ニコルソン
Mario Vargas Llosa	マリオ・バルガス・リョサ
3 SK	紀元前3年
Stephen King	スティーヴン・キング
Radio Studio 54 Network	Radio Studio 54 Network
Ẹ̀wádún 1860	1860年代
Ẹ̀wádún 1870	1870年代
.by	.by
.fj	.fj
.cl	.cl
.br	.br
.is	.is
.lt	.lt
.bz	.bz
.cg	.cg
Ptolemy 13k	プトレマイオス13世
Ìhìnrere Lúkù	ルカによる福音書
Ptolemy 6k Philometor	プトレマイオス6世
Ptolemy 5k Epiphanes	プトレマイオス5世
.pt	.pt
58 SK	紀元前58年
2157 Ashbrook	アシュブルック (小惑星)
Ptolemy 7k Neos Philopator	プトレマイオス7世
Ptolemy 12k Auletes	プトレマイオス12世
.bh	.bh
Ptolemy 11k Alexander 2k	プトレマイオス11世
.bt	.bt
52 SK	紀元前52年
Berenice 4k ilẹ̀ Ẹ́gíptì	ベレニケ4世
Sylvester Stallone	シルヴェスター・スタローン
Rio Grande do Sul	リオグランデ・ド・スル州
Amazonas (ìpínlẹ̀ Brasil)	アマゾナス州
6 SK	紀元前6年
34 SK	紀元前34年
Ceará	セアラー州
Amapá	アマパー州
59 SK	紀元前59年
57 SK	紀元前57年
Neanderthal	ネアンデルタール人
Òjò oníkíkan	酸性雨
Ẹ̀wádún 1810	1810年代
William Butler Yeats	ウィリアム・バトラー・イェイツ
Ìdìbòyàn	選挙
David Gross	デイビッド・グロス
Ìsọdipúpọ̀	乗法
Guinea Titun	ニューギニア島
Ìṣe àwọn Àpóstélì	使徒言行録
.md	.md
.ci	.ci
.an	.an
Orílẹ̀-èdè Olómìnira Áràbù Sàhráwì	サハラ・アラブ民主共和国
.et	.et
.tv	.tv
.eg	.eg
5 SK	紀元前5年
23 SK	紀元前23年
.fm	.fm
Bahia	バイーア州
.se	.se
.ax	.ax
.cy	.cy
.il	.il
Joan Crawford	ジョーン・クロフォード
Pervez Musharraf	パルヴェーズ・ムシャラフ
.bo	.bo
.bs	.bs
Julia Roberts	ジュリア・ロバーツ
John Wayne	ジョン・ウェイン
Ìwo Orí ilẹ̀ Áfríkà	アフリカの角
Heath Ledger	ヒース・レジャー
Manifẹ́stò Kómúnístì	共産党宣言
Ẹ̀rọ Ìmúsáré Hádrónì Gbàngbà	大型ハドロン衝突型加速器
.kz	.kz
.hu	.hu
Cristina Fernández de Kirchner	クリスティーナ・フェルナンデス・デ・キルチネル
.ua	.ua
.cd	.cd
.ge	.ge
.ai	.ai
.cm	.cm
Jennifer Lopez	ジェニファー・ロペス
Dilma Rousseff	ジルマ・ルセフ
Ìyọkúrò	減法
65 SK	紀元前65年
Acre (ìpínlẹ̀)	アクレ州
Sandra Bullock	サンドラ・ブロック
God Save the Queen	女王陛下万歳
Knut Hamsun	クヌート・ハムスン
29 SK	紀元前29年
Tenerife	テネリフェ島
53 SK	紀元前53年
90 SK	紀元前90年
Doris Lessing	ドリス・レッシング
Alagoas	アラゴアス州
Àwọn Erékùṣù Andaman àti Nicobar	アンダマン・ニコバル諸島
Anna Maria Jopek	アナ・マリア・ヨペック
Werner Heisenberg	ヴェルナー・ハイゼンベルク
Virginia Woolf	ヴァージニア・ウルフ
Frank Sinatra	フランク・シナトラ
7 SK	紀元前7年
9 SK	紀元前9年
Honiara	ホニアラ
Ẹ̀wádún 1850	1850年代
Nefertiti	ネフェルティティ
Pernambuco	ペルナンブーコ州
32 SK	紀元前32年
91 SK	紀元前91年
Ìgbìmọ̀ Òlímpíkì Akáríayé	国際オリンピック委員会
.cr	.cr
.mx	.mx
.bw	.bw
.do	.do
.cu	.cu
.hr	.hr
.dj	.dj
.aq	.aq
.er	.er
.cv	.cv
.hn	.hn
.bm	.bm
.dm	.dm
.lk	.lk
.dz	.dz
Harold Pinter	ハロルド・ピンター
Ruble Rọ́síà	ロシア・ルーブル
.kh	.kh
Topeka	トピカ (カンザス州)
.no	.no
Ìwé Psalmu	詩篇
Ram Narayan	ラム・ナラヤン
Mariah Carey	マライア・キャリー
Raleigh	ローリー (ノースカロライナ州)
.gg	.gg
.bj	.bj
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.ec	.ec
Santa Catarina (ìpínlẹ̀)	サンタカタリーナ州
Kim Il-sung	金日成
Assyria	アッシリア
84 SK	紀元前84年
Jane Fonda	ジェーン・フォンダ
48 SK	紀元前48年
26 SK	紀元前26年
70 SK	紀元前70年
55 SK	紀元前55年
11 SK	紀元前11年
Al Pacino	アル・パチーノ
Haile Selassie 1k	ハイレ・セラシエ1世
La Marseillaise	ラ・マルセイエーズ
Sony	ソニー
.cf	.cf
.bf	.bf
.bn	.bn
San Juan, Púẹ́rtò Ríkò	サンフアン (プエルトリコ)
Ilé-Ìṣọ́ Bábẹ́lì	バベルの塔
Boris Pasternak	ボリス・パステルナーク
69 SK	紀元前69年
16 SK	紀元前16年
35 SK	紀元前35年
13 SK	紀元前13年
Ẹ̀bùn Grammy	グラミー賞
Heinrich Hertz	ハインリヒ・ヘルツ
Henri Becquerel	アンリ・ベクレル
John Dalton	ジョン・ドルトン
Basseterre	バセテール
Weimar Olómìnira	ヴァイマル共和政
.mk	.mk
17 SK	紀元前17年
Àsìá ilẹ̀ Turkmẹ́nìstán	トルクメニスタンの国旗
67 SK	紀元前67年
88 SK	紀元前88年
96 SK	紀元前96年
54 SK	紀元前54年
87 SK	紀元前87年
Jodie Foster	ジョディ・フォスター
24 SK	紀元前24年
77 SK	紀元前77年
Kurt Gödel	クルト・ゲーデル
José Luis Rodríguez Zapatero	ホセ・ルイス・ロドリゲス・サパテロ
Michael Jordan	マイケル・ジョーダン
Ìpínlẹ̀ Rio de Janeiro	リオデジャネイロ州
Ponun Gibraltar	ジブラルタル・ポンド
Gulf ilẹ̀ Guinea	ギニア湾
.sa	.sa
.gd	.gd
.ma	.ma
.aw	.aw
.fo	.fo
.gy	.gy
.gw	.gw
.gl	.gl
.gq	.gq
Kingstown	キングスタウン
Wọlé Sóyinká	ウォーレ・ショインカ
Ìwé Léfítíkù	レビ記
Henryk Sienkiewicz	ヘンリク・シェンキェヴィチ
Ìdíje Wimbledon	ウィンブルドン選手権
60 SK	紀元前60年
.sk	.sk
56 SK	紀元前56年
98 SK	紀元前98年
51 SK	紀元前51年
St. George's, Grẹ̀nádà	セントジョージズ
Àmì ọ̀pá àṣẹ ilẹ̀ Kánádà	カナダの国章
Yamamoto Gonnohyōe	山本権兵衛
Julia Gillard	ジュリア・ギラード
David Johnston	デイヴィッド・ロイド・ジョンストン
David Hilbert	ダフィット・ヒルベルト
Goiás	ゴイアス州
Rupiah Indonésíà	ルピア
Christina Aguilera	クリスティーナ・アギレラ
Liu Xiaobo	劉暁波
.to	.to
.lv	.lv
.gh	.gh
.mm	.mm
.hk	.hk
81 SK	紀元前81年
62 SK	紀元前62年
95 SK	紀元前95年
71 SK	紀元前71年
97 SK	紀元前97年
Àsìá ilẹ̀ Índíà	インドの国旗
Thucydides	トゥキディデス
Hendrik Lorentz	ヘンドリック・ローレンツ
Castries	カストリーズ
Ẹ̀yà ènìyàn	民族
.kg	.kg
.as	.as
Joseph Goebbels	ヨーゼフ・ゲッベルス
.gm	.gm
.gn	.gn
.iq	.iq
.ir	.ir
.gt	.gt
.ga	.ga
.mh	.mh
.ls	.ls
.lu	.lu
86 SK	紀元前86年
80 SK	紀元前80年
Ìlú Kansas	カンザスシティ (ミズーリ州)
.tm	.tm
Ìjẹ́ẹ̀rí	シャハーダ
.lb	.lb
.ph	.ph
.zm	.zm
.uz	.uz
.uy	.uy
.sg	.sg
.kr	.kr
.mt	.mt
Paul Newman	ポール・ニューマン
74 SK	紀元前74年
64 SK	紀元前64年
99 SK	紀元前99年
76 SK	紀元前76年
79 SK	紀元前79年
61 SK	紀元前61年
Manmohan Singh	マンモハン・シン
Rosa Parks	ローザ・パークス
.la	.la
50 SK	紀元前50年
.jm	.jm
.pa	.pa
.pe	.pe
Kotte	スリジャヤワルダナプラコッテ
Àgbájọ Akáríayé Okun Átọ́mù	国際原子力機関
.bi	.bi
Anwar El Sadat	アンワル・アッ＝サーダート
.nz	.nz
.mc	.mc
.ml	.ml
.ki	.ki
Àmìọ̀rọ̀ orílẹ̀-èdè fún top-level domain	国別コードトップレベルドメイン
.tj	.tj
.ly	.ly
J. M. G. Le Clézio	ジャン＝マリ・ギュスターヴ・ル・クレジオ
Ìwé Ìfihàn	ヨハネの黙示録
Ìkokò	ハイエナ
.im	.im
399 SK	紀元前399年
Denzel Washington	デンゼル・ワシントン
Tomas Tranströmer	トーマス・トランストロンメル
Àyèọmọìlú	市民
Henri Bergson	アンリ・ベルクソン
.kp	.kp
82 SK	紀元前82年
.cc	.cc
149 SK	紀元前149年
101 SK	紀元前101年
Pinyin	ピン音
Sully Prudhomme	シュリ・プリュドム
Uniform Resource Locator	Uniform Resource Locator
.ck	.ck
File Transfer Protocol	File Transfer Protocol
.zw	.zw
Pópù Pius 11k	ピウス11世 (ローマ教皇)
Portable Document Format	Portable Document Format
83 SK	紀元前83年
92 SK	紀元前92年
93 SK	紀元前93年
94 SK	紀元前94年
78 SK	紀元前78年
Maranhão	マラニョン州
.va	.va
Michail Aleksandrovich Sholokhov	ミハイル・ショーロホフ
