Afrik	アフリカ
Pyotr Kapitza	ピョートル・カピッツァ
Peptid	ペプチド
Rezonans	共鳴
Nich ekolojik	ニッチ
Chawoya	腐肉食
Arno Allan Penzias	アーノ・ペンジアス
Fòs santripèd	向心力
Emilio Segrè	エミリオ・セグレ
Repwodiksyon aseksyèl	無性生殖
Ezofaj	食道
Divètisman	エンターテインメント
Tenpan	鼓膜
Ч	Ч
Ш	Ш
Н	Н
Konpoze òganik	有機化合物
Wilmington, Delaware	ウィルミントン (デラウェア州)
Ф	Ф
Villa Alemana	ビジャ・アレマーナ
Farenks	咽頭
Edward Norton Lorenz	エドワード・ローレンツ
Pieter van Musschenbroeck	ピーテル・ファン・ミュッセンブルーク
Sibdiksyon	沈み込み帯
Nan Oval	ザ・オーバル
Andrey Markov	アンドレイ・マルコフ
Dezyèm lwa tèmodinamik	熱力学第二法則
Estalaktit	鍾乳石
Arthur Benjamin	アーサー・ベンジャミン
Espò (biyoloji)	胞子
Sous cho	熱水泉
Jean Giono	ジャン・ジオノ
Emporia, Vijini	エンポリア (バージニア州)
Pui atezyen	自噴
Vodou	ブードゥー教
Estewoyid	ステロイド
Teyori selilè	細胞説
Pat (materyo)	パン生地
Elektwo-eman	電磁石
Mouvman bwonyen	ブラウン運動
Tèmosfè	熱圏
Poughkeepsie, New York	ポキプシー (ニューヨーク州の市)
Cecil Frank Powell	セシル・パウエル
Lanse javlo	やり投
Izolan	絶縁体
О	О
Jenerasyon espontane	自然発生説
Dodekayèd	正十二面体
Luis Walter Alvarez	ルイス・ウォルター・アルヴァレズ
Santriyòl	中心小体
Biafra	ビアフラ共和国
Volay	家禽
Norbert Wiener	ノーバート・ウィーナー
Deriv kontinan	大陸移動説
Eredite	遺伝
Fòs santrifij	遠心力
Mont	腕時計
Pwen woze	露点温度
Aksòn	神経繊維
Don Carlos	ドン・カルロ
Vèv	寡婦
Degradasyon	風化
Ekitasyon	馬術
Kwo-magnon	クロマニョン人
Steven Weinberg	スティーヴン・ワインバーグ
Lakòz	因果性
Puyallup, Washington	ピュアラップ (ワシントン州)
Chalè espesifik	熱容量
Reflèks	反射 (生物学)
Bri	ノイズ
George Smoot	ジョージ・スムート
М	М
Plonje soumaren	潜水
Shinjuku	新宿区
Leo Esaki	江崎玲於奈
Ц	Ц
Х	Х
У	У
С	С
Vo Nguyen Giap	ヴォー・グエン・ザップ
Pèmafwòs	永久凍土
Sediman	堆積物
Third World	第三世界
Lenny Kravitz	レニー・クラヴィッツ
Enèji tèmik	内部エネルギー
Selil konbistib	燃料電池
Machwa	顎
Sil	繊毛
Imidite	湿度
Eleman	エレメント
Espektwomèt mas	質量分析法
Kwomatin	クロマチン
Tabak	タバコ
Anòd	アノード
Brian David Josephson	ブライアン・ジョゼフソン
Chen Ning Yang	楊振寧
Pèt cheve	脱毛症
Й	Й
Р	Р
Ze amnyotik	有羊膜類
Nicolas Leonard Sadi Carnot	ニコラ・レオナール・サディ・カルノー
Koloyid	コロイド
Android	人造人間
Konpozit	複合材料
Augusta, Georgie	オーガスタ (ジョージア州)
Fizik (pyès metal)	電力ヒューズ
Tij sèvo	脳幹
Bentos	底生生物
Щ	Щ
Repwodiksyon seksyèl	有性生殖
Т	Т
Ekwasyon chimik	化学反応式
Meteyo analòg	天気予報
John James Audubon	ジョン・ジェームズ・オーデュボン
Dispèsyon	分散 (光学)
Limyè flyoresan	蛍光灯
Destwiksyon kouch ozòn	オゾンホール
Igwomèt	湿度計
Edward Mills Purcell	エドワード・ミルズ・パーセル
Zhores Ivanovich Alferov	ジョレス・アルフョーロフ
Alfred North Whitehead	アルフレッド・ノース・ホワイトヘッド
Dezètifikasyon	砂漠化
Ilya Prigogine	イリヤ・プリゴジン
Ernest Walton	アーネスト・ウォルトン
Owen Chamberlain	オーウェン・チェンバレン
Tsung-Dao Lee	李政道
Gary, Indiana	ゲーリー (インディアナ州)
Makwofaj	マクロファージ
Fewomayetis	強磁性
Rizòm	地下茎
Irving Langmuir	アーヴィング・ラングミュア
Kado	贈り物
Viña del Mar	ビニャ・デル・マール
Sèkèy	棺
Andrew Wiles	アンドリュー・ワイルズ
La sèn	舞台芸術
Patrick Blackett	パトリック・ブラケット
Gerolamo Cardano	ジェロラモ・カルダーノ
Sofia Kovalevskaya	ソフィア・コワレフスカヤ
Enèji mekanik	力学的エネルギー
Owojenèz	造山運動
Sin-Itiro Tomonaga	朝永振一郎
Charles Townes	チャールズ・タウンズ
Polykarp Kusch	ポリカプ・クッシュ
Walter Houser Brattain	ウォルター・ブラッテン
Gerardus 't Hooft	ヘーラルト・トホーフト
Dekagòn	十角形
Dyelektrik	誘電体
Igor Vasilyevich Kurchatov	イーゴリ・クルチャトフ
Selil konpay	師部
Guantánamo, Kiba	グアンタナモ
Dechè nikleyè	放射性廃棄物
ADP	アデノシン二リン酸
Aktin	アクチン
Fòs elektwomotris	起電力
Knoxville, Tennessee	ノックスビル (テネシー州)
Sistèm nève parasenpatetik	副交感神経系
Ponyèt	手首
Lieutenant	中尉
Tan kontanporen	現代 (時代区分)
Radyasyon iyonik	放射線
Ю	Ю
Enfimyè	看護師
Mityalis	相利共生
Otozòm	常染色体
Pwojeksyon konik	投影法 (地図)
Julian Schwinger	ジュリアン・シュウィンガー
Riccardo Giacconi	リカルド・ジャコーニ
Willis Lamb	ウィリス・ラム
Parazitis	寄生
Chattanooga, Tennessee	チャタヌーガ
Machin konpoze	単純機械
Alèjèn	アレルゲン
Ovilasyon	排卵
Sinaps	シナプス
Carlo Rubbia	カルロ・ルビア
Trip so	三段跳
Sistèm senpatik	交感神経系
Pierre-Gilles de Gennes	ピエール＝ジル・ド・ジェンヌ
Fonksyon zeta Riemann	リーマンゼータ関数
Augustin-Jean Fresnel	オーギュスタン・ジャン・フレネル
Alexander Karelin	アレクサンドル・カレリン
Anders Jonas Ångström	アンデルス・オングストローム
Charles Peirce	チャールズ・サンダース・パース
Melanin	メラニン
Emigrasyon	移住
François Duvalier	フランソワ・デュヴァリエ
Spokane, Washington	スポケーン
Jerome Isaac Friedman	ジェローム・アイザック・フリードマン
Léon Foucault	レオン・フーコー
Bwat	箱
Langston Hughes	ラングストン・ヒューズ
Yoichiro Nambu	南部陽一郎
Alexei Alexeyevich Abrikosov	アレクセイ・アブリコソフ
Siksesyon ekolojik	遷移 (生物学)
Konstan	定数
Entèfewon	インターフェロン
Frits Zernike	フリッツ・ゼルニケ
Kal	鱗
Fobou	郊外
Anfisèm	肺気腫
François Viète	フランソワ・ビエト
Marin Mersenne	マラン・メルセンヌ
Dolin	シンクホール
Я	Я
Plantasyon	プランテーション
Sik selilè	細胞周期
Koro	コロール (都市)
Cupertino, Kalifòni	クパチーノ (カリフォルニア州)
Keratin	ケラチン
Nevill Mott	ネヴィル・モット
Ekilib chimik	化学平衡
Sir William Crookes	ウィリアム・クルックス
Missoula, Montana	ミズーラ (モンタナ州)
Disosyasyon (chimi)	解離 (化学)
Melvin Schwartz	メルヴィン・シュワーツ
Ayerbe	アイェルベ
Plant bizanyèl	二年生植物
Anayewobi	嫌気性生物
Fwon (météorologie)	前線 (気象)
Patrimwàn ereditè	遺伝子プール
Bouk	ヤギ亜科
Andositoz	エンドサイトーシス
Mikwotibil	微小管
Glann mamè	乳腺
Nicolaas Bloembergen	ニコラス・ブルームバーゲン
Antony Hewish	アントニー・ヒューイッシュ
Robert Betts Laughlin	ロバート・B・ラフリン
Flajèl	鞭毛
Kwomosfè	彩層
Cienfuegos, Kiba	シエンフエーゴス
Lajenès	青年
Oksin	オーキシン
Sitadèl la Ho dinasti	胡朝の城塞
Minato	港区 (東京都)
Envèsyon tanperati	逆転層
Turbulence	乱流
Pepsin	ペプシン
Deplasman	変位
Enèji aktivasyon	活性化エネルギー
Henry Way Kendall	ヘンリー・ケンドール
Arthur Leonard Schawlow	アーサー・ショーロー
Lamitye	ネナシカズラ属
Lespwa	希望
Nicolas Bourbaki	ニコラ・ブルバキ
Claude Cohen-Tannoudji	クロード・コーエン＝タヌージ
James Rainwater	レオ・ジェームス・レインウォーター
William Daniel Phillips	ウィリアム・ダニエル・フィリップス
Martin Ryle	マーティン・ライル
Philip Warren Anderson	フィリップ・アンダーソン
Simeon Denis Poisson	シメオン・ドニ・ポアソン
Desalman	海水淡水化
Lyann legliz	トウアズキ
Titraj	滴定
Adrien-Marie Legendre	アドリアン＝マリ・ルジャンドル
Giuseppe Peano	ジュゼッペ・ペアノ
Tansyo-aktif	界面活性剤
Alveyòl	肺胞
Ы	Ы
Э	Э
Frederick Reines	フレデリック・ライネス
Kòmansalis	片利共生
Egzoskèlèt	外骨格
Reyaksyon pa dekonpozisyon	化学分解
Burton Richter	バートン・リヒター
Peter Higgs	ピーター・ヒッグス
Danny Glover	ダニー・グローヴァー
Labrim	靄
Sèl (sou cheval)	鞍
Konsomasyon	消費
Boulder, Kolorado	ボルダー (コロラド州)
Yè	過去
Joseph Hooton Taylor	ジョゼフ・テイラー
Ivar Giaever	アイヴァー・ジェーバー
Bertram Brockhouse	バートラム・ブロックハウス
Plant anyèl	一年生植物
Leon Lederman	レオン・レーダーマン
Lake Placid, New York	レークプラシッド (ニューヨーク州)
Ilya Frank	イリヤ・フランク
William Gilbert	ウィリアム・ギルバート (物理学者)
Robert Coleman Richardson	ロバート・リチャードソン (物理学者)
Kai Siegbahn	カイ・シーグバーン
Samuel Chao Chung Ting	サミュエル・ティン
Anthony James Leggett	アンソニー・レゲット
Tinèl la Cu Chi	クチの地下道
Radyo-izotòp	放射性同位体
Ba	ストッキング
Plenn inondab	氾濫原
Rejenerasyon	再生 (生物学)
Ayewobi	好気性生物
If	菌糸
Presyon osmotik	浸透圧
Trajektwa	弾道
Lim	やすり
Migrasyon	渡り
Limyè koyeran	コヒーレンス
Parachit	スカイダイビング
Entèval kontou	等高線
James Cronin	ジェイムズ・クローニン
Echalot	エシャロット
Kenneth Geddes Wilson	ケネス・ウィルソン
Distans fokal	焦点距離
Shibuya	渋谷区
Echèl kat jeyografik	縮尺
John Hasbrouck van Vleck	ジョン・ヴァン・ヴレック
Frantz Fanon	フランツ・ファノン
Almuñécar (Grenad)	アルムニェーカル
Limyè solèy	太陽光
Roger Penrose	ロジャー・ペンローズ
Jèminasyon	発芽
Bròs	画筆
Preri	プレーリー
Kamouflaj	カモフラージュ
Michael Pupin	ミカエル・ピューピン
Fotomikwoskòp konpoze	顕微鏡
Sètifika	証書
Patat lanmè	グンバイヒルガオ
Forè twopikal imid	熱帯雨林
0 (menm non)	0 (曖昧さ回避)
Lekti	読書
Tacoma, Washington	タコマ (ワシントン州)
Universidad de Concepción (Chili)	コンセプシオン大学
Nonagòn	九角形
Pa touye	不殺生
Evolisyon konvèjan	収斂進化
Maria Gaetana Agnesi	マリア・ガエターナ・アニェージ
Abraham de Moivre	アブラーム・ド・モアブル
Ròb	ドレス
Sean Paul	ショーン・ポール
Panye	籠
Richard Edward Taylor	リチャード・E・テイラー
Marquis de Condorcet	ニコラ・ド・コンドルセ
John Dee	ジョン・ディー
Ь	Ь
Clifford Shull	クリフォード・シャル
Edward Witten	エドワード・ウィッテン
Miami Beach, Florid	マイアミビーチ
Niccolò Fontana Tartaglia	ニコロ・フォンタナ・タルタリア
Braslè	ブレスレット
Pikan	棘 (植物)
David Lee	デビッド・リー (物理学者)
Daniel Chee Tsui	ダニエル・ツイ
Martinus Veltman	マルティヌス・フェルトマン
Guillaume de l'Hôpital	ギヨーム・ド・ロピタル
Djèt estrim	ジェット気流
John Archibald Wheeler	ジョン・ホイーラー
Wyclef Jean	ワイクリフ・ジョン
Franklin, New Hampshire	フランクリン (ニューハンプシャー州)
Gaspard-Gustave Coriolis	ガスパール＝ギュスターヴ・コリオリ
Zilda Arns	ジウダ・アルンス
Ton natalite	出生率
Reyaksyon andotèmik	吸熱反応
Modesto, Kalifòni	モデスト
Ban	ベンチ
Zion	シオン
Tousen Louvèti	トゥーサン・ルーヴェルチュール
Echèl Saffir-Simpson	サファ・シンプソン・ハリケーン・スケール
Aspen, Kolorado	アスペン (コロラド州)
Reyaksyon egzotèmik	発熱反応
Eric Allin Cornell	エリック・コーネル
Ipotèz Riemann	リーマン予想
Alexander Friedman	アレクサンドル・フリードマン
CARICOM	カリブ共同体
Henri Lebesgue	アンリ・ルベーグ
Pafnuty Chebyshev	パフヌティ・チェビシェフ
Vòl (sa fè yon zwazo)	飛翔
Estrès	応力
Homestead	ホームステッド
Carl Wieman	カール・ワイマン
John Lewis Hall	ジョン・ホール (物理学者)
Orinda, Kalifòni	オリンダ (カリフォルニア州)
Val Logsdon Fitch	ヴァル・フィッチ
Rezistans lè	抗力
Gaspard Monge	ガスパール・モンジュ
Kou-sikui	短絡
Zèb	ハーブ
Christian Goldbach	クリスティアン・ゴルトバハ
Lonè	名誉
Reyon katodik	陰極線
Isaac Barrow	アイザック・バロー
Chalè latan	潜熱
500 (nonm)	500
Sòlstis ivè	冬至
Uxbridge, Massachusetts	アクスブリッジ (マサチューセッツ州)
Latòti (il)	トルトゥーガ島
Règ oktè	オクテット則
Ritm sikadyen	概日リズム
Michael Atiyah	マイケル・アティヤ
John Wallis	ジョン・ウォリス
Pantalasa	パンサラッサ
1984 (menm non)	1984 (曖昧さ回避)
Vallejo, Kalifòni	ヴァレーホ (カリフォルニア州)
Thousand Oaks, Kalifòni	サウザンドオークス
Augustus De Morgan	オーガスタス・ド・モルガン
Panic	パニック
Thomas Bayes	トーマス・ベイズ
Misk lis	平滑筋
Sunnyvale, Kalifòni	サニーベール (カリフォルニア州)
SliTaz	Slitaz
Kapasite tanpon	緩衝液
Reseptè	受容体
Inite derive	SI組立単位
Mas kritik	臨界量 (原子力)
Kouran-toubiyon	渦電流
Josmer Altidore	ジョジー・アルティドール
Akwifè	帯水層
René Préval	ルネ・ガルシア・プレヴァル
Oxnard, Kalifòni	オックスナード (カリフォルニア州)
Jan Bètran Aristid	ジャン＝ベルトラン・アリスティド
Aran	ニシン属
Gamèt	配偶子
Ъ	Ъ
Santa Clara, Villa Clara	サンタ・クララ
Diktilite	展延性
Vòlkan an boukliye	楯状火山
Jean-Pierre Serre	ジャン＝ピエール・セール
Janjak Desalin	ジャン＝ジャック・デサリーヌ
Dodekagòn	十二角形
Laurent Schwartz	ローラン・シュワルツ
Brook Taylor	ブルック・テイラー
Chuo	中央区 (東京都)
Bunkyo	文京区
Kondisyònman	古典的条件づけ
Santwomè	セントロメア
Krakaj	接触分解
Santa Rosa, Kalifòni	サンタローザ (カリフォルニア州)
666 (nonm)	666
Estekyometri	化学量論
Rapid City, Dakota disid	ラピッドシティ
Adachi	足立区
Eritromisin	エリスロマイシン
Ernst Chladni	エルンスト・クラドニ
Hurling	ハーリング
Devlòpman	発生生物学
Binghamton, New York	ビンガムトン
Terapi jenik	遺伝子治療
Tinen	ドワーフ
Chiyoda	千代田区
Edogawa	江戸川区
Bellevue, Washington	ベルビュー (ワシントン州)
Desalinyèn	デサリーヌの歌
Bonaventura Cavalieri	ボナヴェントゥーラ・カヴァリエーリ
Joseph Liouville	ジョゼフ・リウヴィル
Chanm Wilsonn	霧箱
Jabo	素嚢
Koto	江東区
John Milnor	ジョン・ウィラード・ミルナー
Gábor Szegő	セゲー・ガーボル
Kat topografik	地形図
Estomat	気孔
Ronald Fisher	ロナルド・フィッシャー
Paul Cohen	ポール・コーエン (数学者)
John Venn	ジョン・ベン
Vito Volterra	ヴィト・ヴォルテラ
Hippolyte Fizeau	アルマン・フィゾー
Espèk emisyon	放出スペクトル
Radyasyon adaptatif	適応放散
Youngstown, Ohio	ヤングスタウン (オハイオ州)
Mas lè	気団
Ajan rediktè	還元剤
Kap Ayisyen (komin)	カパイシャン
Analiz dimansyonèl	次元解析
Ota	大田区
Jimmie Johnson	ジミー・ジョンソン (ドライバー)
Vezikil seminal	精嚢
Ekolokasyon	反響定位
Alpha & Omega	ΑΩ
Ithaca, New York	イサカ (ニューヨーク州)
Ka	KA
Analiz	分析
Pous	インチ
Notasyon syantifik	指数表記
Fayetteville, Arkansas	フェイエットビル (アーカンソー州)
Pat (pye bèt)	肉球
Boza	ファインアート
Macon, Georgie	メイコン (ジョージア州)
Józef Rotblat	ジョセフ・ロートブラット
Timothy Gowers	ウィリアム・ティモシー・ガワーズ
366 (nonm)	366
275 (nonm)	275
Anggun	アングン
272 (nonm)	272
Ekoulman piwoklastik	火砕流
Kojenerasyon	コジェネレーション
Selil ot	宿主
Mitajèn	変異原
Hilary Putnam	ヒラリー・パトナム
Theodore Kaczynski	セオドア・カジンスキー
Walla Walla, Washington	ワラワラ (ワシントン州)
Fargo	ファーゴ (映画)
Arthur Geoffrey Walker	アーサー・ウォーカー
Tòti	カメ
Casper, Wyoming	キャスパー (ワイオミング州)
Allan McLeod Cormack	アラン・コーマック
126 (nonm)	126
Redmond, Washington	レドモンド (ワシントン州)
Maurice Druon	モーリス・ドリュオン
Aimé Cesaire	エメ・セゼール
Wilmingtòn (Delawè)	ウィルミントン
Daniel	ダニエル (曖昧さ回避)
Estrikti analòg	相同
Warren, Texas	ウォーレン
Pwen cho	ホットスポット
Castor (menm non)	キャスター
Brutus	ブルータス
141 (nonm)	141
469 (nonm)	469
Bon	ボン (曖昧さ回避)
Fisèl	ストリング
Apaxco	アパスコ
Georges-Louis Leclerc	ジョルジュ＝ルイ・ルクレール・ド・ビュフォン
Setagaya	世田谷区
Patañjali	パタンジャリ
Panama (menm non)	パナマ (曖昧さ回避)
Lang	ラング (曖昧さ回避)
Arakawa	荒川区
Katsushika	葛飾区
Suginami	杉並区
Itabashi	板橋区
Taito	台東区
Nerima	練馬区
255 (nonm)	255
Peoria, Ilinwa	ピオリア (イリノイ州)
Matteo Ricci	マテオ・リッチ
Shinagawa	品川区
Aberdeen, Washington	アバディーン (ワシントン州)
Rockford, Ilinwa	ロックフォード (イリノイ州)
Meguro	目黒区
Emina Sandal	エミナ・ヤホヴィッチ
Vancouver, Washington	バンクーバー (ワシントン州)
Erie, Pennsilvani	エリー (ペンシルベニア州)
Nakano	中野区
Benzoliv	ワサビノキ
Stanislaw Ulam	スタニスワフ・ウラム
Hollywood, Florid	ハリウッド (フロリダ州)
Ang kritik	全反射
Kita	北区 (東京都)
Sumida	墨田区
Ajil (non)	TON
Toshima	豊島区
Aberdeen, Dakota disid	アバディーン (サウスダコタ州)
Dorad	ヨーロッパヘダイ
Reading, Pennsilvani	レディング (ペンシルベニア州)
Rou (objè ron)	円板
Reyaksyon nikleyè	原子核反応
Pye flanbwayan	ホウオウボク
289 (nonm)	289
90 (nonm)	90
Akajou	マホガニー
Columbus, Georgie	コロンバス (ジョージア州)
Mission, Texas	ミッション (テキサス州)
58 (nonm)	58
Huntington (Vijini de Lwès)	ハンティントン (ウェストバージニア州)
Naperville, Ilinwa	ネイパービル (イリノイ州)
72 (nonm)	72
Efè Tyndall	チンダル現象
Pinar del Río, Kiba	ピナール・デル・リオ
Anjanbman kwomozomik	乗換え (生物学)
Clearwater, Florid	クリアウォーター
Anpisilin	アンピシリン
Willebrord Snel van Royen	ヴィレブロルト・スネル
Holguín, Kiba	オルギン
Denis	パリのディオニュシウス
Lloyd Shapley	ロイド・シャープレー
Filtrasyon	ろ過
Komedyen	コメディアン
Solenoyid	ソレノイド
Jean Baptiste Joseph Delambre	ジャン＝バティスト・ジョゼフ・ドランブル
727 (nonm)	727
711 (nonm)	711
David Ruelle	ダヴィッド・ルエール
Vitès reyaksyon	反応速度
Melanj	ミックス
Lacho	石灰
440 (nonm)	440
Enrico Betti	エンリコ・ベッチ
Ian Stewart	イアン・スチュワート
Ao dai	アオザイ
Clifton, New Jersey	クリフトン (ニュージャージー州)
Boustabak	オオハシカッコウ
600 (nonm)	600
Janesville, Wisconsin	ジェーンズビル (ウィスコンシン州)
Naples, Florid	ネイプルズ (フロリダ州)
Defans	安全保障
987 (nonm)	987
Saman	モンキーポッド
Tubac, Arizona	トゥバク
290 (nonm)	290
187 (nonm)	187
Deadwood, Dakota disid	デッドウッド
723 (nonm)	723
Sistèm kinè	五進法
Foul	ファウル (サッカー)
Zo	骨
270 (nonm)	270
Selil vòltayik	電池
Okay (awondisman)	オカイ郡
Lagonav (il)	ゴナーブ島
296 (nonm)	296
Newport Beach, Kalifòni	ニューポートビーチ
John Horton Conway	ジョン・ホートン・コンウェイ
Shen Kuo	沈括
Masahiko Kimura	木村政彦
Zanmann	モモタマナ
Scranton, Pennsilvani	スクラントン (ペンシルベニア州)
Fiksasyon azòt	窒素固定
Yasuhiro Yamashita	山下泰裕
Matanzas, Kiba	マタンサス
Fòmil anpirik	実験式
Teyori kreyasyon kontini	定常宇宙論
Peter Tosh	ピーター・トッシュ
Nòmal (dyagram reyon)	法線ベクトル
Denaturasyon	変性
Konjigezon	接合 (生物)
Reyaksyon sentèz	化学合成
Edouard Glissant	エドゥアール・グリッサン
Edouard Le Roy	エドゥアール・ル・ロワ
Edouard Lucas	エドゥアール・リュカ
Kloranfenikol	クロラムフェニコール
Elie Cartan	エリ・カルタン
Kachiman kanèl	バンレイシ
Teyorèm Wilson	ウィルソンの定理
Bernard Lamy	ベルナール・ラミ
Alexander Polyakov	アレクサンドル・ポリャコフ
92 (nonm)	92
227 (nonm)	227
James Dewar	ジェイムズ・デュワー
286 (nonm)	286
84 (nonm)	84
Kenèp	マモン (植物)
247 (nonm)	247
257 (nonm)	257
96 (nonm)	96
189 (nonm)	189
Gorham, Maine	ゴーラム (メイン州)
Pittsburg, Kalifòni	ピッツバーグ (カリフォルニア州)
Linares (Jaén)	リナーレス (スペイン)
Martin Campbell	マーティン・キャンベル
43 (nonm)	43
985 (nonm)	985
Ѳ	Ѳ
Charles Fefferman	チャールズ・フェファーマン
Kristalizasyon	結晶化
Lafayette, Kalifòni	ラファイエット (カリフォルニア州)
148 (nonm)	148
87 (nonm)	87
Fort Benton, Montana	フォートベントン (モンタナ州)
Blacksburg, Vijini	ブラックスバーグ (バージニア州)
259 (nonm)	259
Charles Émile Picard	エミール・ピカール
Newport, New Hampshire	ニューポート (ニューハンプシャー州)
Kouch deplesyon	空乏層
Etienne Bezout	エティエンヌ・ベズー
Florence, Kolorado	フローレンス (コロラド州)
Giovanni Girolamo Saccheri	ジョヴァンニ・ジェローラモ・サッケーリ
Rialto, Kalifòni	リアルト (カリフォルニア州)
André Rigaud	アンドレ・リゴー
Lenmi	敵
Abita	ララ・ダッタ
162 (nonm)	162
54 (nonm)	54
Lèt (mesaj)	Letter
Lyon (menm non)	リヨン (曖昧さ回避)
Malè	マレ (イタリア)
12 (menm non)	Twelve
Make	Make
Silvio Cator	シルヴィオ・カトール
Bothell, Washington	ボセル
630 (nonm)	630
Clovis, Kalifòni	クローヴィス (カリフォルニア州)
Metropolis, Ilinwa	メトロポリス (イリノイ州)
219 (nonm)	219
Transpò aktif	能動輸送
480 (nonm)	480
441 (menm non)	441
Replik	余震
Peristaltis	蠕動
Mirage	蜃気楼
Kalmason	カタツムリ
Avianca	アビアンカ航空
Jean Giraud	ジャン・ジロー
Lakou	中庭
Anpil	量
Camille Jordan	カミーユ・ジョルダン
Rudjer Josip Boscovich	ルジェル・ヨシプ・ボスコヴィッチ
Henry Moseley	ヘンリー・モーズリー (物理学者)
Shaggy	シャギー (歌手)
David Bohm	デヴィッド・ボーム
Lazare Carnot	ラザール・カルノー
Alan Baker	アラン・ベイカー
Ludolph van Ceulen	ルドルフ・ファン・コーレン
Abdul Qadeer Khan	アブドゥル・カディール・カーン
Jean-Claude Duvalier	ジャン＝クロード・デュヴァリエ
Nicole Oresme	ニコル・オレーム
René Antoine Ferchault de Réaumur	ルネ・レオミュール
James Joseph Sylvester	ジェームス・ジョセフ・シルベスター
Lodovico Ferrari	ルドヴィコ・フェラーリ
Marlon Wayans	マーロン・ウェイアンズ
Aleksandr Lyapunov	アレクサンドル・リャプノフ
Don Miguel	ミゲル1世 (ポルトガル王)
Michelet	ジュール・ミシュレ
Karl Pearson	カール・ピアソン
Damian Marley	ダミアン・マーリー
Stephen Wolfram	スティーブン・ウルフラム
Raben Akiba	アキバ・ベン・ヨセフ
Neil deGrasse Tyson	ニール・ドグラース・タイソン
Semmy Schilt	セミー・シュルト
Boris Berezovsky	ボリス・ベレゾフスキー
William Oughtred	ウィリアム・オートレッド
Janne Rydberg	ヨハネス・リュードベリ
Chiyonofuji Mitsugu	千代の富士貢
Giovanni Alfonso Borelli	ジョヴァンニ・ボレリ
Mouvman retwograd	順行・逆行
Willem de Sitter	ウィレム・ド・ジッター
Nguyen Du	グエン・ズー
Jeff Gordon	ジェフ・ゴードン
Alain Connes	アラン・コンヌ
Jagadish Chandra Bose	ジャガディッシュ・チャンドラ・ボース
Ousmane Sembene	センベーヌ・ウスマン
Frank Ramsey	フランク・ラムゼイ
Etienne-Louis Malus	エティエンヌ・ルイ・マリュス
Stephen Smale	スティーヴン・スメイル
Laurent Lafforgue	ローラン・ラフォルグ
Theodore Maiman	セオドア・メイマン
Thomas Harriot	トーマス・ハリオット
Jesse Douglas	ジェス・ダグラス
Peter Green	ピーター・グリーン (ミュージシャン)
Francesco Maria Grimaldi	フランチェスコ・マリア・グリマルディ
Israel Gelfand	イズライル・ゲルファント
Lee Scratch Perry	リー・ペリー
Joseph Wilson Swan	ジョゼフ・スワン
Andrei Okounkov	アンドレイ・オクンコフ
Jean-Max Bellerive	ジャン＝マックス・ベルリーヴ
John Charles Fields	ジョン・チャールズ・フィールズ
Paul Painleve	ポール・パンルヴェ
George Eugene Uhlenbeck	ジョージ・ウーレンベック
James Hopwood Jeans	ジェームズ・ジーンズ
Ronald McNair	ロナルド・マクネイア
Heraclides Ponticus	ヘラクレイデス
Kochle	蝸牛
Joplin, Missouri	ジョプリン (ミズーリ州)
Vincenzo Viviani	ヴィンチェンツォ・ヴィヴィアーニ
Paolo Ruffini	パオロ・ルフィニ
Henri Salvador	アンリ・サルヴァドール
Scipione del Ferro	シピオーネ・デル・フェッロ
Jacopo Riccati	ヤコポ・リッカチ
Taihō Kōki	大鵬幸喜
Militon	ハヤトウリ
Lancaster, Pennsilvani	ランカスター (ペンシルベニア州)
Pocatello, Idaho	ポカテッロ (アイダホ州)
Abilene, Kansas	アビリーン (カンザス州)
Edward Waring	エドワード・ウェアリング
Keenen Ivory Wayans	キーネン・アイヴォリー・ウェイアンズ
John Maynard Smith	ジョン・メイナード＝スミス
Alpha Blondy	アルファ・ブロンディ
Boniface Alexandre	ボニファス・アレクサンドル
Andre Weil	アンドレ・ヴェイユ
Gaston Julia	ガストン・ジュリア
Antoine Augustin Cournot	アントワーヌ・オーギュスタン・クールノー
Loránd Eötvös	エトヴェシュ・ロラーンド
Osborne Reynolds	オズボーン・レイノルズ
George Green	ジョージ・グリーン
Alan Guth	アラン・グース
Kip Stephen Thorne	キップ・ソーン
Peter Lax	ピーター・ラックス
Sergei Lvovich Sobolev	セルゲイ・ソボレフ
Nuruddin Farah	ヌルディン・ファラー
Simi Valley, Kalifòni	シミバレー
Egzositoz	エキソサイトーシス
Fairfield, Kalifòni	フェアフィールド (カリフォルニア州)
Mezodèm	中胚葉
Sergei Vavilov	セルゲイ・ヴァヴィロフ
George Darwin	ジョージ・ハワード・ダーウィン
Konstant iyonizasyon baz	酸解離定数
Grigory Margulis	グレゴリー・マルグリス
Plymouth, Massachusetts	プリマス (マサチューセッツ州)
George David Birkhoff	ジョージ・デビット・バーコフ
Laramie, Wyoming	ララミー (ワイオミング州)
Shiing-Shen Chern	陳省身
Clarksville, Tennessee	クラークスビル (テネシー州)
Parkersburg (Vijini de Lwès)	パーカーズバーグ (ウェストバージニア州)
Bouche	精肉店
Úbeda (Jaén)	ウベダ
Resi	領収書
Abraham Robinson	アブラハム・ロビンソン
Prineville, Oregon	プラインビル (オレゴン州)
Ѣ	Ѣ
