אפריקע	アフリカ
מארקא פאלא	マルコ・ポーロ
קאמוניזם	共産主義
אנארכיזם	アナキズム
קאפיטאליזם	資本主義
ליבעראליזם	自由主義
פאשיזם	ファシズム
נאציאנאליזם	ナショナリズム
כאפעז	ハーフェズ
לאנד	国
פאלק (נאציאן)	国民
צווייטע פונישע מלחמה	第二次ポエニ戦争
דזשאו ביידען	ジョー・バイデン
הילערי ראדהעם קלינטאן	ヒラリー・クリントン
אינדיאנאפאליס	インディアナポリス
בלעטערער	ウェブブラウザ
בריטישער מוזיי	大英博物館
שווימען	水泳
קאַטעגאָריע:אסטראנאמיע	Category:天文学
דארדאנעלן	ダーダネルス海峡
זשאן-זשאק רוסא	ジャン＝ジャック・ルソー
סטאניסלאוו לעם	スタニスワフ・レム
פראנצויזישע רעוואלוציע	フランス革命
1550	1550年
1551	1551年
קאַטעגאָריע:אסטראנאמען	Category:天文学者
1552	1552年
1553	1553年
1554	1554年
האמסטער	ハムスター
אירקוצק	イルクーツク
סאהארא	サハラ砂漠
1556	1556年
1557	1557年
1558	1558年
שטראסבורג	ストラスブール
גיטאר	ギター
1559	1559年
1560	1560年
1561	1561年
1562	1562年
1563	1563年
1564	1564年
1565	1565年
האמאסעקסואלוטעט	同性愛
1566	1566年
1567	1567年
1568	1568年
לעזביאנקע	レズビアン
1569	1569年
קראאטיש	クロアチア語
1570	1570年
1571	1571年
1572	1572年
1573	1573年
1574	1574年
1575	1575年
האמעראס	ホメーロス
אלעקסאנדער פאן האמבאלט	アレクサンダー・フォン・フンボルト
1576	1576年
1577	1577年
1578	1578年
1579	1579年
1580	1580年
1581	1581年
1582	1582年
1600	1600年
קארל פרידריך גאוס	カール・フリードリヒ・ガウス
UTC+2	UTC+2
1601	1601年
1583	1583年
1602	1602年
1584	1584年
פערפיניאן	ペルピニャン
1603	1603年
1585	1585年
1604	1604年
1586	1586年
1605	1605年
1587	1587年
1606	1606年
1607	1607年
1588	1588年
1608	1608年
1589	1589年
1609	1609年
1590	1590年
1610	1610年
1591	1591年
1611	1611年
1592	1592年
1612	1612年
1593	1593年
1613	1613年
1594	1594年
1614	1614年
1595	1595年
1615	1615年
1596	1596年
1616	1616年
1597	1597年
1617	1617年
1598	1598年
1618	1618年
1599	1599年
1619	1619年
1620	1620年
1621	1621年
1700	1700年
1701	1701年
1622	1622年
1623	1623年
1702	1702年
1624	1624年
1703	1703年
1704	1704年
1625	1625年
1705	1705年
1626	1626年
1627	1627年
1706	1706年
1628	1628年
1707	1707年
1708	1708年
1629	1629年
1630	1630年
1709	1709年
1631	1631年
1710	1710年
1632	1632年
1711	1711年
1633	1633年
1712	1712年
1634	1634年
1713	1713年
1800	1800年
1801	1801年
1714	1714年
1635	1635年
דזשיימס דזשויס	ジェイムズ・ジョイス
1802	1802年
1715	1715年
1636	1636年
1803	1803年
1637	1637年
1716	1716年
1638	1638年
1804	1804年
1717	1717年
1639	1639年
1805	1805年
1718	1718年
1640	1640年
1719	1719年
1806	1806年
1641	1641年
1720	1720年
1807	1807年
1642	1642年
1721	1721年
1808	1808年
1643	1643年
1722	1722年
1809	1809年
1644	1644年
1723	1723年
1810	1810年
1645	1645年
1724	1724年
20סטער י"ה	20世紀
1811	1811年
1646	1646年
1725	1725年
1812	1812年
1647	1647年
1726	1726年
1813	1813年
21סטער י"ה	21世紀
1648	1648年
1727	1727年
1814	1814年
1649	1649年
1728	1728年
1815	1815年
1650	1650年
1729	1729年
1816	1816年
19טער י"ה	19世紀
1651	1651年
1730	1730年
1817	1817年
1652	1652年
1731	1731年
1818	1818年
1653	1653年
1732	1732年
1819	1819年
1654	1654年
1733	1733年
1820	1820年
1655	1655年
1821	1821年
1734	1734年
1656	1656年
1822	1822年
1735	1735年
1657	1657年
1823	1823年
1736	1736年
1658	1658年
1737	1737年
1824	1824年
1659	1659年
1738	1738年
1825	1825年
1660	1660年
1739	1739年
1826	1826年
1661	1661年
1740	1740年
1827	1827年
קאלידאסא	カーリダーサ
18טער י"ה	18世紀
17טער י"ה	17世紀
16טער י"ה	16世紀
15טער י"ה	15世紀
לוגאנא	ルガーノ
קאטאלאניש	カタルーニャ語
14טער י"ה	14世紀
זשיראנע	ジローナ
13טער י"ה	13世紀
12טער י"ה	12世紀
11טער י"ה	11世紀
אטעאיזם	無神論
לי באי	李白
ביבליאטעק	図書館
דאכוי	ダッハウ
מאטעריאליזם	唯物論
ניעלס באהר	ニールス・ボーア
באוואוסטזיין	意識
ביאכעמיע	生化学
ביאפיזיק	生物物理学
ביאטעכנאלאגיע	生物工学
עקאלאגיע	生態学
אפריקאנער פארבאנד	アフリカ連合
גענעטיק	遺伝学
פאליטיק	政治
וועלט באנק	世界銀行
קאלאניאליזם	植民地主義
קאנסערוואטיזם	保守
אראבישע ליגע	アラブ連盟
דעמאקראטיע	民主主義
נאגיב מאכפוז	ナギーブ・マフフーズ
רויטער קרייץ	赤十字社
גלאבאליזאציע	グローバリゼーション
נאט"א	北大西洋条約機構
מארי קירי	マリ・キュリー
גען	遺伝子
רעגירונג	政府
נאבעל פריז	ノーベル賞
קין שי הואנג	始皇帝
מיקראביאלאגיע	微生物学
סימאן דע באוואר	シモーヌ・ド・ボーヴォワール
אווידיוס	オウィディウス
מארסעל פרוסט	マルセル・プルースト
אלעקסאנדער פושקין	アレクサンドル・プーシキン
מיטל מזרח	中東
פאלעאנטאלאגיע	古生物学
עליזאבעט די ערשטע	エリザベス1世
האן דינאסטיע	漢
טאקסאנאמיע	分類体系
וויראלאגיע	ウイルス学
זשאן ד'ארק	ジャンヌ・ダルク
ראזא לוקסעמבורג	ローザ・ルクセンブルク
סאפאקלעס	ソポクレス
קאַטעגאָריע:קוואלן	Category:泉
ארגאניזם	生物
ראבינדראנאט טאגאר	ラビンドラナート・タゴール
שיינקייט	美
לעוו טאלסטוי	レフ・トルストイ
מארק טוויין	マーク・トウェイン
עלן טיורינג	アラン・チューリング
פעמיניזם	フェミニズム
אידעאלאגיע	イデオロギー
אימפעריאליזם	帝国主義
מארקסיזם	マルクス主義
קעניגרייך	君主制
רעפובליק	共和制
סאציאליזם	社会主義
מדינה	国家
פאליטישע פארטיי	政党
פראפאגאנדע	プロパガンダ
טעראריזם	テロリズム
יאהאנעס בראהמס	ヨハネス・ブラームス
קילימאנדזשארא	キリマンジャロ
אנטאנין דווארזשאק	アントニン・ドヴォルザーク
געארג פרידריך הענדל	ゲオルク・フリードリヒ・ヘンデル
גוסטאוו מאהלער	グスタフ・マーラー
קוש	接吻
נאציזם	ナチズム
דזיאקאמא פוטשיני	ジャコモ・プッチーニ
פראנץ שובערט	フランツ・シューベルト
איגאר סטראווינסקי	イーゴリ・ストラヴィンスキー
פעטער איליטש טשייקאווסקי	ピョートル・チャイコフスキー
דזשוסעפע ווערדי	ジュゼッペ・ヴェルディ
נאצי דייטשלאנד	ナチス・ドイツ
זשאק קארטיער	ジャック・カルティエ
קריסטאפער קאלאמבוס	クリストファー・コロンブス
דזשיימס קוק	ジェームズ・クック
ייד	ユダヤ人
הערנאן קארטעס	エルナン・コルテス
יורי גאגארין	ユーリイ・ガガーリン
וואשקו דא גאמא	ヴァスコ・ダ・ガマ
איבן באטוטא	イブン・バットゥータ
זשענג הע	鄭和
אוישוויץ	アウシュヴィッツ＝ビルケナウ強制収容所
אשפעצין	オシフィエンチム
גרויסער באריער ריף	グレート・バリア・リーフ
גרויסע אזערעס	五大湖
אינדוס	インダス川
יאזעף היידן	フランツ・ヨーゼフ・ハイドン
פאנאמא קאנאל	パナマ運河
דרום אקעאן	南極海
געלער טייך	黄河
אויער	耳
נאז	鼻
אויג	目
מוסקל	筋肉
ליד	歌
קאמאר	カ
שאף	ヒツジ
דעלפין	イルカ
פעדעריקא פעליני	フェデリコ・フェリーニ
הייפיש	サメ
אלפרעד היטשקאק	アルフレッド・ヒッチコック
קעמל	ラクダ
זויגער	哺乳類
העלפאנד	ゾウ
פרימאט	サル目
מוראשקע	アリ
שטימע	声
בין	ハナバチ
ווייכווארג	ソフトウェア
האלענדיש	オランダ語
מארגארעט טאטשער	マーガレット・サッチャー
עדה יאנאט	アダ・ヨナス
DNA	デオキシリボ核酸
זגאל	種 (分類学)
וואהלין	ヴォルィーニ
פאטלעזשאן	ナス
אינגמאר בערזשמאן	イングマール・ベルイマン
לוצק	ルーツィク
איבערזעצונג	翻訳
קאטשקע	カモ科
מוטער	母親
שניי	雪
טאטע	父親
קינד	子供
1828	1828年
1829	1829年
1741	1741年
1662	1662年
1742	1742年
1830	1830年
1663	1663年
1831	1831年
1743	1743年
1664	1664年
1665	1665年
1744	1744年
1832	1832年
1666	1666年
1745	1745年
1833	1833年
1667	1667年
1746	1746年
טראנספארט	交通
1834	1834年
1668	1668年
1747	1747年
1835	1835年
1748	1748年
1836	1836年
1669	1669年
לעאנהארד אוילער	レオンハルト・オイラー
1670	1670年
1749	1749年
1837	1837年
1671	1671年
1750	1750年
1838	1838年
1672	1672年
1751	1751年
1839	1839年
1673	1673年
1752	1752年
1840	1840年
1674	1674年
1753	1753年
1841	1841年
1754	1754年
1675	1675年
1842	1842年
1755	1755年
1676	1676年
1843	1843年
1677	1677年
1756	1756年
1844	1844年
1678	1678年
1757	1757年
1845	1845年
1679	1679年
1758	1758年
1846	1846年
1680	1680年
1759	1759年
1847	1847年
1681	1681年
1760	1760年
1848	1848年
1682	1682年
1761	1761年
1849	1849年
1683	1683年
1762	1762年
1850	1850年
1684	1684年
1763	1763年
1851	1851年
1764	1764年
1685	1685年
1852	1852年
1686	1686年
1765	1765年
1853	1853年
1687	1687年
1766	1766年
1854	1854年
1688	1688年
1767	1767年
1855	1855年
1689	1689年
1768	1768年
1856	1856年
1690	1690年
1769	1769年
1857	1857年
1691	1691年
1770	1770年
1858	1858年
1692	1692年
1771	1771年
1859	1859年
1693	1693年
1772	1772年
1860	1860年
1773	1773年
1861	1861年
1694	1694年
1695	1695年
1774	1774年
1862	1862年
1696	1696年
1775	1775年
1863	1863年
1697	1697年
1776	1776年
1864	1864年
1698	1698年
1865	1865年
1777	1777年
1699	1699年
1866	1866年
1778	1778年
1779	1779年
1867	1867年
1780	1780年
1868	1868年
1781	1781年
1869	1869年
אוונט	夕
מינוט	分
יידישע אויטאנאמע געגנט	ユダヤ自治州
יהושע בן נון	ヨシュア
רוסיש	ロシア語
1782	1782年
1870	1870年
לואי דער פערצנטער	ルイ14世 (フランス王)
1783	1783年
1871	1871年
וולאדימיר פוטין	ウラジーミル・プーチン
געזעץ	法 (法学)
ראק און ראל	ロックンロール
1784	1784年
1872	1872年
מאטעמאטישער אנאליז	解析学
קאנסטיטוציע	コンスティチューション (法学)
1785	1785年
1873	1873年
1786	1786年
1874	1874年
1787	1787年
1875	1875年
1788	1788年
1876	1876年
פארבאנד פון דרום-מזרח אזיאטישע פעלקער	東南アジア諸国連合
ביראבידזשאן	ビロビジャン
1789	1789年
1877	1877年
1790	1790年
1878	1878年
קהל פון זעלבשטענדיקע שטאטן	独立国家共同体
1879	1879年
1791	1791年
קאמאנוועלט	イギリス連邦
היסטאריע פון אייראפע	ヨーロッパ史
היסטאריע פון גריכנלאנד	ギリシャの歴史
אפעק	石油輸出国機構
אינטערנאציאנאלע געריכט פון יוסטיץ	国際司法裁判所
ברויט	パン
אינטערנאציאנאלער געלטפאנד	国際通貨基金
1792	1792年
1880	1880年
1793	1793年
1881	1881年
אונעסקא	国際連合教育科学文化機関
1794	1794年
1882	1882年
אלוועלטלעכע דעקלאראציע פון מענטשרעכט	世界人権宣言
1795	1795年
1883	1883年
װעלט געזונט ארגאניזאציע	世界保健機関
1796	1796年
1884	1884年
1797	1797年
1885	1885年
1886	1886年
1798	1798年
וועלט האנדל ארגאניזאציע	世界貿易機関
1887	1887年
1799	1799年
1888	1888年
1889	1889年
1890	1890年
קרים	クリミア半島
1891	1891年
סוואהילי	スワヒリ語
1892	1892年
1893	1893年
1894	1894年
1895	1895年
1896	1896年
1897	1897年
1898	1898年
כינעזיש	中国語
1899	1899年
בית הכסא	便器
נאטור	自然
טוש	シャワー
פסיכיאטריע	精神医学
צעל	細胞
בלוט	血液
טולוז	トゥールーズ
סקעלעט	骨格
לונג	肺
אטעם-סיסטעם	呼吸器
פארמערן סיסטעם	生殖器
רומעניש	ルーマニア語
בולגאריש	ブルガリア語
רעגן	雨
לאווינע	雪崩
קלימאט	気候
על ניניא	エルニーニョ・南方振動
גלאבאלע אנווארעמען	地球温暖化
ערדציטערניש	地震
מינעראל	鉱物
אמת	真理
ערד פלאטעס	プレートテクトニクス
זען בודהיזם	禅
מויז (קאמפיוטער)	マウス (コンピュータ)
נאטור-וויסנשאפטן	自然科学
סערגיי אייזנשטיין	セルゲイ・エイゼンシュテイン
אקירא קוראסאווא	黒澤明
פרענקלין דעלאנא רוזעוועלט	フランクリン・ルーズベルト
ערד וויסנשאפט	地球科学
אוויצענא	イブン・スィーナー
דארבי מוזיי און קונסט גאלעריע	ダービー博物館・美術館
ווינסטאן טשערטשיל	ウィンストン・チャーチル
אויגוסטינוס	アウグスティヌス
נעלסאן מאנדעלע	ネルソン・マンデラ
מארטין לוטער קינג	マーティン・ルーサー・キング・ジュニア
עקאנאמיע פון דייטשלאנד	ドイツの経済
ענזים	酵素
10טער י"ה	10世紀
פראטעין	タンパク質
ציגיינער	ロマ
שטיין	岩石
נאטירלעכע קאטאסטראפע	自然災害
פארפלייצונג	洪水
צונאמי	津波
וואולקאן	火山
וואלקן	雲
לאגיק	論理学
טארנאדא	竜巻
9טער י"ה	9世紀
טריגאנאמעטריע	三角法
8טער י"ה	8世紀
געאמעטריע	幾何学
7טער י"ה	7世紀
6טער י"ה	6世紀
גראמאטיק	文法
שטורעם ווינט	熱帯低気圧
נינטענדא	任天堂
ווינט	風
5טער י"ה	5世紀
4טער י"ה	4世紀
3טער י"ה	3世紀
2טער י"ה	2世紀
אטמאספער	大気圏
1טער י"ה	1世紀
גרוזיניש	グルジア語
עקאנאמיק	経済学
קאפיטאל	資本
וואלוטע	通貨
יאפאנעזער יען	円 (通貨)
אינדוסטריע	産業
שטייער	租税
לינגוויסטיק	言語学
ווארט	語
פאנעם	音素
טראף	音節
שריפט	文字
אראבישער אלפאבעט	アラビア文字
כינעזישע שריפט	漢字
קירילישע שריפט	キリル文字
גריכישער אלפאבעט	ギリシア文字
האנגול	ハングル
לאטיינישער אלפאבעט	ラテン文字
ליטעראט	リテラシー
קאַטעגאָריע:בולגאריע	Category:ブルガリア
ליטעראטור	文学
קאַטעגאָריע:פראנקרייך	Category:フランス
די קונסט פון מלחמה	孫子 (書物)
בעלעטריסטיק	フィクション
קאַטעגאָריע:מוזיק	Category:音楽
טויזנט און איין נעכט	千夜一夜物語
קאַטעגאָריע:ליטעראטור	Category:文学
ראמאן	長編小説
קאַטעגאָריע:דיכטונג	Category:詩
חלום פונעם רויטן קאמער	紅楼夢
קאַטעגאָריע:היסטאריע: פראנקרייך	Category:フランスの歴史
אייראזאנע	ユーロ圏
די מעשה פון גענזשי	源氏物語
גילגאמעש עפאס	ギルガメシュ叙事詩
איליאדע	イーリアス
מאהאבהאראטא	マハーバーラタ
שאהנאמע	シャー・ナーメ
FBI	連邦捜査局
הארי פאטער	ハリー・ポッターシリーズ
טרומייט	トランペット
דזשעז	ジャズ
פידל	ヴァイオリン
באראק מוזיק	バロック音楽
אלגאריטם	アルゴリズム
טשעלא	チェロ
דראג	薬物
פעדעפיליע	ペドフィリア
סעקס פאזיציעס	性交体位
אנאנירן	オナニー
אנאל סעקס	アナルセックス
אלעקסאנדער דער גרויסער	アレクサンドロス3世
קאנסטאנטין דער גרויסער	コンスタンティヌス1世
כורש	キュロス2世
געזעלשאפט (סאציאלאגיע)	社会
ציוויליזאציע	文明
חינוך	教育
פאמיליע	家族
יוגא טשאוועז	ウゴ・チャベス
מאנצביל	男性
אטא פאן ביסמארק	オットー・フォン・ビスマルク
אישות	結婚
אבארטאציע	妊娠中絶
טויטשטראף	死刑
מענטשן רעכט	人権
ראסיזם	人種差別
טימור	ティムール
שקלאפעריי	奴隷
בירגער קריג	内戦
אומאר איבן אל-כאטאב	ウマル・イブン・ハッターブ
מיליטער	軍事
סוליימאן דער ערשטער	スレイマン1世
פיטער דער גרויסער	ピョートル1世
קאווע	コーヒー
זאפט	ジュース
מילך	乳
באַרג	山
מדבר	砂漠
זומער אלימפיאדע 2008	北京オリンピック
סון יאט-סען	孫文
זומער אלימפיאדע 2012	ロンドンオリンピック (2012年)
סאלאדין	サラーフッディーン
אשאקא	アショーカ王
אקבאר	アクバル
סימאן באליוואר	シモン・ボリバル
היפנאזיע	催眠
ענדרו זשאנסאן	アンドリュー・ジョンソン
פיער עליאט טרודא	ピエール・トルドー
קוואמע נקרומאה	クワメ・エンクルマ
יידיש	イディッシュ語
האנג קאנג	香港
מיאמי	マイアミ
קאראטשי	カラチ
מיטל מזרח קאנפליקט	中東戦争
לאגאס	ラゴス
אמעריקאנער בירגערקריג	南北戦争
ריא דע זשאנערא	リオデジャネイロ
בריטישע אימפעריע	イギリス帝国
קאלטער קריג	冷戦
סעאל	ソウル特別市
שאנכיי	上海市
קולטורעלע רעוואלוציע	文化大革命
לאנדאן היטרוי ערפארט	ロンドン・ヒースロー空港
וועלט ווירטשאפט קריזיס	世界恐慌
וואלט דיזני	ウォルト・ディズニー
מיידזשי רעסטאראציע	明治維新
סעווילא	セビリア
רוסישע רעוואלוציע	ロシア革命
לאס אנדזשעלעס אינטערנאציאנאלע פליפעלד	ロサンゼルス国際空港
טשינג דינאסטיע	清
ווערסיי אפמאך	ヴェルサイユ条約
ארכימעד	アルキメデス
וויעטנאם קריג	ベトナム戦争
טאמעס עדיסאן	トーマス・エジソン
אוקלידוס	エウクレイデス
מייקל פאראדיי	マイケル・ファラデー
באסקיש	バスク語
ענריקא פערמי	エンリコ・フェルミ
בריטיש ערוועיס	ブリティッシュ・エアウェイズ
DNS	Domain Name System
הענרי פארד	ヘンリー・フォード
גאלען	ガレノス
קריפטאגראפיע	暗号理論
אינטערנעט פראטאקאל	Internet Protocol
אוקראיניש	ウクライナ語
ביט	ビット
HTML	HyperText Markup Language
וואלענציע	バレンシア (スペイン)
יוניקאד	Unicode
סאטיאדזשיט ריי	サタジット・レイ
סטיווען ספילבערג	スティーヴン・スピルバーグ
אייראפעאישע קאמיסיע	欧州委員会
אייראפעישער צענטראלבאנק	欧州中央銀行
אייראפעישע אטאמישע ענערגיע געמיינדע	欧州原子力共同体
יאהאן גוטנבערג	ヨハネス・グーテンベルク
דזשיימס פרעסקאט דזשול	ジェームズ・プレスコット・ジュール
יאהאנעס קעפלער	ヨハネス・ケプラー
מאקס פלאנק	マックス・プランク
שוועדיש	スウェーデン語
דעניש	デンマーク語
ניקאלא טעסלא	ニコラ・テスラ
אל־כוואריזמי	フワーリズミー
זשיימס וואט	ジェームズ・ワット
טשאנאקיע	カウティリヤ
גאטפריד ווילהעלם לייבניץ	ゴットフリート・ライプニッツ
נועם כאמסקי	ノーム・チョムスキー
לוקסעמבורגיש	ルクセンブルク語
טשעכיש	チェコ語
סלאוואקיש	スロバキア語
קארל מארקס	カール・マルクス
סלאוועניש	スロベニア語
אונגעריש	ハンガリー語
וואלטער	ヴォルテール
משה רבינו	モーセ
לעטיש	ラトビア語
וויסן	知識
ליטוויש	リトアニア語
הינדואיזם	ヒンドゥー教
בעלארוסיש	ベラルーシ語
דזשיימס קלארק מאקסוועל	ジェームズ・クラーク・マクスウェル
ברוסט	乳房
דמיטרי מענדלעעוו	ドミトリ・メンデレーエフ
אטאם	原子
ערנעסט ראדערפארד	アーネスト・ラザフォード
ליכט	光
גריכיש	ギリシア語
ערווין שרעדינגער	エルヴィン・シュレーディンガー
מיטאלאגיע	神話
אפערירן סיסטעם	オペレーティングシステム
טאזש מאהאל	タージ・マハル
איריש	アイルランド語
פראגראמירן שפראך	プログラミング言語
פינגווין	ペンギン
פונדאמענטאליזם	原理主義
בליצפאסט	電子メール
מאנאטעיזם	一神教
פאליטעאיזם	多神教
נשמה	霊魂
מאלטעזיש	マルタ語
פערסיש	ペルシア語
רעליגיע	宗教
קארעיש	朝鮮語
אברהם אבינו	アブラハム
ספר בראשית	創世記
עמפייער סטעיט בילדינג	エンパイア・ステート・ビルディング
ספר שמות	出エジプト記
רענע דעקארט	ルネ・デカルト
וויעטנאמעזיש	ベトナム語
שאול התרסי	パウロ
סטאטוע פון ליבערטי	自由の女神像 (ニューヨーク)
אמעריקאנער ארמיי	アメリカ陸軍
זיגמונד פרויד	ジークムント・フロイト
טיילאנדיש	タイ語
דזשייניזם	ジャイナ教
געארג ווילהעלם פרידריך העגל	ゲオルク・ヴィルヘルム・フリードリヒ・ヘーゲル
מאנגאליש	モンゴル語
באקו	バクー
וועלט ירושה ארט	世界遺産
סאלאט	サラダ
יידישקייט	ユダヤ教
העברעאיש	ヘブライ語
איבן כאלדון	イブン・ハルドゥーン
סערביש	セルビア語
באסניש	ボスニア語
אימאנועל קאנט	イマヌエル・カント
סיקהיזם	シク教
דזשאן מיינארד קינס	ジョン・メイナード・ケインズ
אויפפיר	行動
לאא צי	老子
Gmail	Gmail
גוגל דאקומענטן	Google ドキュメント
יאגא	ヨーガ
דזשאן לאק	ジョン・ロック
פרידריך ניצשע	フリードリヒ・ニーチェ
בישקעק	ビシュケク
זשאן-פאל סארטרע	ジャン＝ポール・サルトル
דושאנבע	ドゥシャンベ
גוגל (זוכמאשין)	Google検索
לעבער	肝臓
סימא טשיען	司馬遷
ניר	腎臓
אדם סמיט	アダム・スミス
אוריניר פענכער	膀胱
מאקס וועבער	マックス・ヴェーバー
לודוויג וויטגנשטיין	ルートヴィヒ・ウィトゲンシュタイン
זשו טשי	朱子
נערוון סיסטעם	神経系
געפיל	感情
פסיכאלאגיע	心理学
טראכטן	思考
טימבוקטו	トンブクトゥ
אקעאן	大洋
טאמאס פון אקווינא	トマス・アクィナス
קעניגין וויקטאריע	ヴィクトリア (イギリス女王)
גאוטאמא בודהא	釈迦
רעגנוואלד	多雨林
דיאלעקטיק	弁証法
מוכאמאד	ムハンマド・イブン＝アブドゥッラーフ
מידות	倫理学
עפיסטעמאלאגיע	認識論
בחירה	自由意志
IPod	IPod
משמעותדיקייט	確率
רעאליטעט	現実
אטעם	呼吸
בי בי סי	英国放送協会
טאני בלער	トニー・ブレア
אל-גאזאלי	ガザーリー
מארטין לוטער	マルティン・ルター
קאנפוציאניזם	儒教
דזשעראלד פארד	ジェラルド・R・フォード
שיא איסלאם	シーア派
ריטשארד ניקסאן	リチャード・ニクソン
ITunes	ITunes
קאטוילישע קירכע	カトリック教会
טרימורטי	三神一体
בויך	腹
טאאיזם	道教
זאראאסטריזם	ゾロアスター教
סופיזם	スーフィズム
בענגאליש	ベンガル語
טראכט	子宮
צונג	舌
פאנקרעאס	膵臓
נערוו	神経
גענאק	首
מויל	口
שטימע קעסטל	喉頭
געדערעם	腸
לינדאן זשאנסאן	リンドン・ジョンソン
געלענק	関節
ברוסטקאסטן	胸
דריז	腺
פאלקלאנד אינזלען	フォークランド諸島
פארדייאונג סיסטעם	消化器
A	A
מיכאל שומאכער	ミハエル・シューマッハ
אינזל פון ווייט	ワイト島
עליזאבעט די צווייטע	エリザベス2世
טאנג דינאסטיע	唐
ניו יארק טיימס	ニューヨーク・タイムズ
מידקייט	疲労
זשאן עף. קענעדי	ジョン・F・ケネディ
B	B
זרע	精液
דזשיאאקינא ראסיני	ジョアキーノ・ロッシーニ
קלאסישע מוזיק	クラシック音楽
סימפאניע	交響曲
G	G
U	U
Z	Z
בלוז	ブルース
פלאמענקא	フラメンコ
F	F
J	J
עלעקטראנישע מוזיק	電子音楽
אלפאבעט	アルファベット
רעגיי	レゲエ
T	T
C	C
מיטלשול	高等学校
R	R
D	D
אלפא	Α
I	I
מינג דינאסטיע	明
E	E
H	H
דווייט דעיוויד אייזנהאוער	ドワイト・D・アイゼンハワー
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
ראנאלד רייגען	ロナルド・レーガン
V	V
W	W
X	X
Y	Y
ענדי מאריי	アンディ・マレー
פלאזמע	プラズマ
קאנאל טונעל	英仏海峡トンネル
פיטאגאראס	ピタゴラス
קאלאסעום	コロッセオ
פארטענאן	パルテノン神殿
ארימקייט	貧困
סאראגאסא	サラゴサ
דזשאן מעקעין	ジョン・マケイン
פערנאנדא אלאנסא	フェルナンド・アロンソ
דעיוויד בעקהעם	デビッド・ベッカム
גארדאן בראון	ゴードン・ブラウン
נעוויל טשעמבערליין	ネヴィル・チェンバレン
קאַטעגאָריע:װענעזועלע	Category:ベネズエラ
בעלפאסט	ベルファスト
קארדיף	カーディフ
פעריאדישע טאבעלע	周期表
טיבאר סעקעלי	チボル・セケリ
זעלבסטמארד	自殺
נאקעט	裸
9/11	アメリカ同時多発テロ事件
רעפטיליע	爬虫類
סעקס שפילצייג	性具
נאגער	ネズミ目
טויבן	ハト科
שפּאנישע בירגער קריג	スペイン内戦
ארכעען	古細菌
בלינדקייט	失明
באקטעריע	真正細菌
בוים	木
פראטיסטן	原生生物
אמפיביע	両生類
כארדאטן	脊索動物
רעוואלוציע	革命
קעז	チーズ
וויינטרויבן	ブドウ
האניג	蜂蜜
פלייש	食肉
קארטאפל	ジャガイモ
צוקער	砂糖
גרינצייג	野菜
סויע	ダイズ
נוס	種実類
ראבאט	ロボット
טעכנאלאגיע	テクノロジー
מאשין	機械
שרויף	ねじ
אינזשעניריע	工学
קאמוניקאציע	コミュニケーション
אינפארמאציע	情報
זשורנאליזם	報道
צייטונג	新聞
מאסן מעדיע	マスメディア
דרוקעריי	印刷
טעלעפאן	電話機
קולטור	文化
הינדוסטאני	ヒンドゥスターニー語
סאנסקריט	サンスクリット
בלוט צירקולאציע	循環器
ענדאקרינאלע סיסטעם	内分泌器
אלצהיימערס קרענק	アルツハイマー型認知症
גראבע קישקע	大腸
פארקינסאן קרענק	パーキンソン病
קליינע קישקע	小腸
חוש-סיסטעם	感覚器
שפעק	ベーコン
IP אדרעס	IPアドレス
זייערס	酸
אומארגאנישע כעמיע	無機化学
פראגע צייכן	疑問符
כעמישע פארבינדונג	化合物
יוליאנישער קאלענדאר	ユリウス暦
מעדיצין	医学
וועלט פאקטבוך	ザ・ワールド・ファクトブック
באזע (כעמיע)	塩基
סאראיעווא	サラエヴォ
לאגאריטם	対数
העכסטע געריכט פון די פאראייניגטע שטאטן	合衆国最高裁判所
אריטמעטיק	算術
פענטאגאן	ペンタゴン
קאארדינאטן סיסטעם	座標
מיליטער פון די פאראייניקטע שטאטן פון אמעריקע	アメリカ軍
דיפערענציאל-גלייכונג	微分方程式
Windows 7	Microsoft Windows 7
נומערישער אנאליז	数値解析
יו.עס. מארין קארפס	アメリカ海兵隊
Windows Server	Windows Server
אמעריקאנער פלאט	アメリカ海軍
אמעריקאנער לופטפלאט	アメリカ空軍
אמעריקאנער בארטן פאטראל	アメリカ沿岸警備隊
פראצענט	パーセント
Windows Vista	Microsoft Windows Vista
היימלאנד זיכערהייט	アメリカ合衆国国土安全保障省
Windows Server 2008	Microsoft Windows Server 2008
World Trade Center	ワールドトレードセンター (ニューヨーク)
סמיילי	スマイリーフェイス
Windows Server 2003	Microsoft Windows Server 2003
Windows XP	Microsoft Windows XP
מידטאון מאנהעטן	ミッドタウン
לאוער מאנהעטען	ロウアー・マンハッタン
זאלץ	塩
Microsoft Office	Microsoft Office
פידעל קאסטרא	フィデル・カストロ
Microsoft Word	Microsoft Word
קאנגרעס	アメリカ合衆国議会
עקסעל	Microsoft Excel
Hyper-V	Hyper-V
קאַטעגאָריע:בראזיל	Category:ブラジル
טראל (אינטערנעט)	荒らし
מאנהעטן	マンハッタン
וואלקן קראצער	超高層建築物
שאפינג מאלל	ショッピングセンター
