Afraga	アフリカ
William McKinley	ウィリアム・マッキンリー
Càl	キャベツ
Sheòirsea a Deas is na h-Eileanan Shandwich a Deas	サウスジョージア・サウスサンドウィッチ諸島
Prìomh-bhailtean	首都の一覧
Noemi	ノエミ (歌手)
Làrach-lìn	ウェブサイト
Wilhelm Conrad Röntgen	ヴィルヘルム・レントゲン
Urramachd Seapanais	敬称
Grover Cleveland	グロバー・クリーブランド
Cubhait (baile)	クウェート市
Herbert Hoover	ハーバート・フーヴァー
Facal-fhreumachd	語源
Pùma	ピューマ
44 RC	紀元前44年
Warren G. Harding	ウォレン・ハーディング
387	387年
Nikita Hruŝëv	ニキータ・フルシチョフ
Brad Pitt	ブラッド・ピット
Colombo	コロンボ
Uinneag	窓
Almaty	アルマトイ
Chester A. Arthur	チェスター・A・アーサー
Seann-Lochlannais	古ノルド語
Uamh	洞窟
Hokkaidō	北海道
Arthur Conan Doyle	アーサー・コナン・ドイル
Dinnsear	ショウガ
Duais Nobel airson Sith	ノーベル平和賞
William Howard Taft	ウィリアム・タフト
Linne Chluaidh	クライド湾
Benjamin Harrison	ベンジャミン・ハリソン
Rutherford B. Hayes	ラザフォード・ヘイズ
Iaguar	ジャガー
1930an	1930年代
Astràilia a Deas	南オーストラリア州
1960an	1960年代
1920an	1920年代
Pàrlamaid	議会
Aiste	随筆
Osaka	大阪市
Boise, Idaho	ボイシ
Oilthigh Chambridge	ケンブリッジ大学
Baruch Spinoza	バールーフ・デ・スピノザ
Cadal	睡眠
Heactair	ヘクタール
Uachdar-fhiaclan	歯磨剤
Baisteadh	洗礼
Bàta	ボート
Guaranaidh	グアラニー語
Ceilteach	ケルト人
Calvin Coolidge	カルビン・クーリッジ
Seileach	ヤナギ
Queensland	クイーンズランド州
Minneapolis, Minnesota	ミネアポリス
Mathan coala	コアラ
Charles Bronson	チャールズ・ブロンソン
Muhammed Ali	モハメド・アリ
Borneo	ボルネオ島
Ùir	土壌
Àlach	集合
Bridgetown	ブリッジタウン
Siligo	シーリゴ
Riochdair	代名詞
Fuaimreag	母音
Apia	アピア
Saint John's, Antigua agus Barbuda	セントジョンズ
Beath-eachdraidh	伝記
Roseau	ロゾー
1950an	1950年代
Thales	タレス
Calgary	カルガリー
Jane Austen	ジェーン・オースティン
Aisling	夢
Fribourg	フリブール
Comann Iosaid	イエズス会
Radan	クマネズミ属
Obar Dheathain	アバディーン
Porto	ポルト
Flùr	穀粉
The Lion King	ライオン・キング
Naisgear	接続詞
Mìle-bliadhna	ミレニアム
Francis Drake	フランシス・ドレーク
Port Moresby	ポートモレスビー
Àbhainn	オーブン
1940an	1940年代
1900an	1900年代
1910an	1910年代
Den Haag	デン・ハーグ
Goiriola	ゴリラ
Siùrsachd	売春
Corcaigh	コーク (アイルランド)
Ealain-lèirsinneach	視覚芸術
Bruach-an-Iar	ヨルダン川西岸地区
Victoria, Astràilia	ビクトリア州
Nòrnais	ノルン語
Mamot	マンモス
Pāli	パーリ語
Ndebele (cànan)	南ンデベレ語
Doras	扉
Ceithir-cheàrnach	四角形
Robert De Niro	ロバート・デ・ニーロ
Toshiro Mifune	三船敏郎
Aodann	顔
Zingiberaceae	ショウガ科
Thomas Mann	トーマス・マン
Tallahassee, Florida	タラハシー (フロリダ州)
José Saramago	ジョゼ・サラマーゴ
Alexander Fleming	アレクサンダー・フレミング
Pop	ポップ・ミュージック
Trianaid	三位一体
30 an Gearran	2月30日
Loidhne	直線
331	331年
365	365年
Niùclas	原子核
379	379年
Milkshake	ミルクセーキ
Innd-Eòrpais	インド・ヨーロッパ祖語
Robert Koch	ロベルト・コッホ
Neach-teagaisg	教員
Pàpa Iain Pòl I	ヨハネ・パウロ1世 (ローマ教皇)
An Spiorad Naomh	聖霊
Cleveland, Ohio	クリーブランド (オハイオ州)
Samuel Beckett	サミュエル・ベケット
Lublin	ルブリン
John Michael Talbot	ジョン・マイケル・タルボット
Naypyidaw	ネピドー
Glùn	膝
Abragod	アンズ
Pierre Curie	ピエール・キュリー
Poileagan	多角形
Jean Calvin	ジャン・カルヴァン
Leòmhann-làir	カメレオン科
Bloemfontein	ブルームフォンテーン
Arm	陸軍
Coimheatailt	合金
T. S. Eliot	T・S・エリオット
Charlotte's Web	シャーロットのおくりもの (1973年の映画)
Port Vila	ポートビラ
Auckland Grammar School	オークランド・グラマー・スクール
Milwaukee, Wisconsin	ミルウォーキー
Caol	水道 (地理)
Duais Nobel ann an Litreachas	ノーベル文学賞
Mendel, Gregor	グレゴール・ヨハン・メンデル
Carinthia (stàit)	ケルンテン州
St. Louis, Missouri	セントルイス
Connrag	子音
Herta Müller	ヘルタ・ミュラー
Samurai	侍
George Lucas	ジョージ・ルーカス
Eithne	エンヤ
1840an	1840年代
Còmhlan (bith-eòlas)	門 (分類学)
Rìgh Eanraig VIII Shasainn	ヘンリー8世 (イングランド王)
William Faulkner	ウィリアム・フォークナー
Romano Prodi	ロマーノ・プローディ
Xena: Warrior Princess	ジーナ
Turku	トゥルク
Devanāgarī	デーヴァナーガリー
1880an	1880年代
Còcaireachd	料理
Blàr Stalingrad	スターリングラード攻防戦
Suva	スバ
Nuku'alofa	ヌクアロファ
Meatailt throm	ヘヴィメタル
A' Phruis	プロイセン
1890an	1890年代
Vorarlberg	フォアアールベルク州
Abhag	テリア
Ceusair	皇帝
Cheyenne, Wyoming	シャイアン (ワイオミング州)
Port of Spain	ポートオブスペイン
Bohemia	ボヘミア
Peata	ペット
John Steinbeck	ジョン・スタインベック
Luch	ハツカネズミ属
Ronaldinho	ロナウジーニョ
Anchorage, Alasca	アンカレッジ
1830an	1830年代
Tractar-àiteachais	トラクター
Gamal Abdel Nasser	ガマール・アブドゥル＝ナーセル
Acfhainn	道具
Peatrail	ガソリン
Burbank, Calafòrnia	バーバンク (カリフォルニア州)
1800an	1800年代
Linne	湾
Antoine Lavoisier	アントワーヌ・ラヴォアジエ
Cladh (creideamh)	墓地
Fast	トナカイ
Nicolas Appert	ニコラ・アペール
Des Moines, Iowa	デモイン (アイオワ州)
Taigh-solais	灯台
The Rescuers	ビアンカの大冒険
Raon Ghàsa	ガザ地区
Pràis	黄銅
Sangiano	サンジャーノ
Mario Vargas Llosa	マリオ・バルガス・リョサ
Gleann	谷
1860an	1860年代
1870an	1870年代
Briogais	ズボン
Deichead	10年紀
Almon	アーモンド
Sylvester Stallone	シルヴェスター・スタローン
Prògram (coimpiutair)	プログラム (コンピュータ)
Abhainn Iòrdan	ヨルダン川
Clach-chreadha	煉瓦
Will Smith	ウィル・スミス
Beus-fhìdheall	ヴィオラ・ダ・ガンバ
Hobart	ホバート
1810an	1810年代
William Butler Yeats	ウィリアム・バトラー・イェイツ
Canale d'Agordo	カナーレ・ダーゴルド
Ìomaigh rìomhach	ゲイ・アイコン
Carl Benz	カール・ベンツ
European Cup Winners Cup	UEFAカップウィナーズカップ
Iomadachadh	乗法
Gini-Nuadh	ニューギニア島
The Fox and the Hound	きつねと猟犬
Racine, Wisconsin	ラシーン (ウィスコンシン州)
Joliet, Illinois	ジョリエット (イリノイ州)
Norman, Oklahoma	ノーマン (オクラホマ州)
Prìosan	刑務所
Caolas Chanso	カンソー海峡
Desio	デージオ
Buffalo, Eabhraig Nuadh	バッファロー (ニューヨーク州)
Na Slàbhaich	スラヴ人
John Wayne	ジョン・ウェイン
Sumo	相撲
Lisa Gerrard	リサ・ジェラルド
Somma Lombardo	ソンマ・ロンバルド
Co-bhualadair Mòr Hadron	大型ハドロン衝突型加速器
Tacloban	タクロバン
Ray Bradbury	レイ・ブラッドベリ
Eòin Baistidh	洗礼者ヨハネ
Paulínia	パウリニア
'100 Leabhar an Linn' le Le Monde	ルモンド世紀の100冊
Toirt air falbh	減法
Partan	カニ
God Save the Queen	女王陛下万歳
Knut Hamsun	クヌート・ハムスン
Tampere	タンペレ
Crois	十字
Breda	ブレダ (オランダ)
Tenerife	テネリフェ島
Neul Oort	オールトの雲
Doris Lessing	ドリス・レッシング
Buinneach	下痢
Dumbo	ダンボ
Frank Sinatra	フランク・シナトラ
Honiara	ホニアラ
Mùn	尿
1850an	1850年代
Rèabhlaid Ameireaganach	アメリカ独立戦争
Ùrnaigh	祈り
Skype	Skype
Each-mara (mamal)	セイウチ
Harold Pinter	ハロルド・ピンター
Bathais	額
Topeka, Kansas	トピカ (カンザス州)
Sailm	詩篇
Heraclitus a Ephesus	ヘラクレイトス
Al Pacino	アル・パチーノ
Demi Lovato	デミ・ロヴァート
Eibhir	花崗岩
Iolair-bhuidhe	イヌワシ
Bonn (airgead)	硬貨
San Juan, Puerto Rico	サンフアン (プエルトリコ)
Boris Pasternak	ボリス・パステルナーク
Opera	Opera
Bydgoszcz	ブィドゴシュチュ
Johannes Vermeer	ヨハネス・フェルメール
John Dalton	ジョン・ドルトン
Basseterre	バセテール
Poblachd Weimar	ヴァイマル共和政
Ball-coise Aimearaganach	アメリカンフットボール
Steiermark	シュタイアーマルク州
José Luis Rodríguez Zapatero	ホセ・ルイス・ロドリゲス・サパテロ
Teletubbies	テレタビーズ
Brot	スープ
Kingstown	キングスタウン
Neasgaid-fala	痔
Wole Soyinka	ウォーレ・ショインカ
Lebhiticus	レビ記
Freumh	根
Henryk Sienkiewicz	ヘンリク・シェンキェヴィチ
William Blake	ウィリアム・ブレイク
St. George’s	セントジョージズ
Buaidh an taigh-ghloine	温室効果
Julia Gillard	ジュリア・ギラード
Còcein	コカイン
Dlighe Ohm	オームの法則
Coireaman	コリアンダー
Haifa	ハイファ
Eilean Stiùbhairt	スチュアート島
Castries	カストリーズ
Bruich	茹でる
Brachadh	発酵
Rosg-rann	文
Làithean na seachdain	曜日
Haracleas	ヘラクレイオス
Paul Newman	ポール・ニューマン
Sri Jayawardenapura	スリジャヤワルダナプラコッテ
An Ostair Uachdar	オーバーエスターライヒ州
Democritus	デモクリトス
Tahiti	タヒチ島
Anwar El Sadat	アンワル・アッ＝サーダート
J. M. G. Le Clézio	ジャン＝マリ・ギュスターヴ・ル・クレジオ
Clach theinnteach	火成岩
Gobi	ゴビ砂漠
Tomas Tranströmer	トーマス・トランストロンメル
Henri Bergson	アンリ・ベルクソン
Abel Tasman	アベル・タスマン
Hainan	海南省
Fàilte Mhoire	アヴェ・マリア
Obair	仕事 (物理学)
Mel Gibson	メル・ギブソン
Sully Prudhomme	シュリ・プリュドム
Mirante do Vale	ルックアウトバレー
Eileanan a' Chaolais	チャンネル諸島
Savannah	サバナ (地理)
Pàpa Pius XI	ピウス11世 (ローマ教皇)
Neul (reul-eòlas)	星雲
Mihail Šolohov	ミハイル・ショーロホフ
Sasannaich	イングランド人
Evo Morales	エボ・モラレス
Anatole France	アナトール・フランス
Anaximander	アナクシマンドロス
Eabhraig	ヨーク (イングランド)
Asterix An Ceilteach	アステリックス
An Ostair Ìochdarach	ニーダーエスターライヒ州
Eaglais Ìosa Chrìost de Naoimh an Latha mu Dheireadh	末日聖徒イエス・キリスト教会
Spìosradh	香辛料
Wisława Szymborska	ヴィスワヴァ・シンボルスカ
Curcuma	ウコン
Uilinn	肘
Frédéric Mistral	フレデリック・ミストラル
Sagart	司祭
Deuteronomi	申命記
Cat Manainneach	マンクス
Heinrich Böll	ハインリヒ・ベル
Palikir	パリキール
Johnny Cash	ジョニー・キャッシュ
Audrey Hepburn	オードリー・ヘプバーン
Leif Ericson	レイフ・エリクソン
Port Adhair Long Thanh	ロンタイン国際空港
Tirol	チロル州
Dustin Hoffman	ダスティン・ホフマン
Balla	壁
Ola	油
Ailtire	建築士
1600an	1600年代
Bambi	バンビ (映画)
Peabar	コショウ
Àireamh (Bìoball)	民数記
Barail-fhuasgladh	住民投票
Naomh	聖人
Sofia Rotaru	ソフィーヤ・ロタール
Crotal	地衣類
Cincinnati, Ohio	シンシナティ
Omaha, Nebraska	オマハ
Dà-ghnèitheachd	両性愛
Clint Eastwood	クリント・イーストウッド
Burgenland	ブルゲンラント州
Ingrid Bergman	イングリッド・バーグマン
Fàire	地平線
Morabhia	モラヴィア
Pieter Brueghel Mòr	ピーテル・ブリューゲル
Prionnsa Teàrlach, Prionnsa na Cuimrigh	チャールズ (プリンス・オブ・ウェールズ)
Talmud	タルムード
J. M. Coetzee	J・M・クッツェー
Fresno, Calafòrnia	フレズノ
Cumhachd na Gaoithe	風力発電
Salzburg (stàit)	ザルツブルク州
Basalt	玄武岩
1700an	1700年代
Cogadh na Mìle Làithean	千日戦争
Raibeart Ò Baoghail	ロバート・ボイル
Richmond, Virginia	リッチモンド (バージニア州)
Giosuè Carducci	ジョズエ・カルドゥッチ
Gustave Flaubert	ギュスターヴ・フローベール
Boireannach	メス (動物)
Gàirdean	腕
Desiderius Erasmus	デジデリウス・エラスムス
Guayaquil	グアヤキル
Gerhart Johann Robert Hauptmann	ゲアハルト・ハウプトマン
Cotonou	コトヌー
Drannd-eun	ハチドリ
Leiden	ライデン
Louisville, Kentucky	ルイビル
Montehermoso	モンテエルモーソ
Pàpa Pius IX	ピウス9世 (ローマ教皇)
Pàpa Leo XII	レオ12世 (ローマ教皇)
Pàpa Griogair XVI	グレゴリウス16世 (ローマ教皇)
Yasunari Kawabata	川端康成
Pàpa Pius X	ピウス10世 (ローマ教皇)
Àilean	オアシス
Crith-thalmhainn Haiti 2010	ハイチ地震 (2010年)
Madison, Wisconsin	マディソン (ウィスコンシン州)
Imleag	へそ
Otto I, Impire Naomh Ròmanach	オットー1世 (神聖ローマ皇帝)
Eduard Buchner	エドゥアルト・ブフナー
Pàpa Leo XIII	レオ13世 (ローマ教皇)
Seoc an Reubainnear	切り裂きジャック
1740an	1740年代
Ketchikan, Alasca	ケチカン (アラスカ州)
Wassily Leontief	ワシリー・レオンチェフ
Dan Shechtman	ダニエル・シェヒトマン
István Sándorfi	イシュトヴァーン・サンドルフィ
1500an	1500年代
Fireannach	オス
William Golding	ウィリアム・ゴールディング
Ùirsgeul	伝説
Tsar	ツァーリ
Cayenne	カイエンヌ
Selma Lagerlöf	セルマ・ラーゲルレーヴ
Anne Brontë	アン・ブロンテ
Bheactor	空間ベクトル
Foileag	ホットケーキ
Duais Nobel ann an Ceimigeachd	ノーベル化学賞
V. S. Naipaul	V・S・ナイポール
Ernst Otto Fischer	エルンスト・フィッシャー
Aoine	断食
1820an	1820年代
Amazonas (Roinn)	アマソナス県 (コロンビア)
Port	港湾
Suharto	スハルト
Viljandi	ヴィリャンディ
1770an	1770年代
Alex MacFhearghais	アレックス・ファーガソン
Tulsa, Oklahoma	タルサ (オクラホマ州)
Chubut	チュブ州
Biorra-crùidein	カワセミ亜目
Elba	エルバ島
The Doors	ドアーズ
Coimbra	コインブラ
Beirm	酵母
Ontonagon County, Michigan	オントナゴン郡 (ミシガン州)
Boa	ボア科
Dennis Ritchie	デニス・リッチー
Taghadh ceann-suidhe nan Stàitean Aonaichte, 2008	2008年アメリカ合衆国大統領選挙
Cairdeanal	枢機卿
Himnusz	賛称
Mohammad Hussein Tantawi	ムハンマド・フセイン・タンターウィー
Strabo	ストラボン
Czesław Miłosz	チェスワフ・ミウォシュ
1680an	1680年代
1610an	1610年代
Maigheach	ノウサギ属
Felix Mendelssohn Bartholdy	フェリックス・メンデルスゾーン
Rhône (département)	ローヌ県
Aardvark	ツチブタ
1510an	1510年代
Bogha is saighead	弓矢
Crùban-coille	リクガメ科
Bjørnstjerne Bjørnson	ビョルンスティエルネ・ビョルンソン
CSS	Cascading Style Sheets
Ivan Bunin	イヴァン・ブーニン
Bhampair	吸血鬼
Inndis Fìdi	フィジー・ヒンディー語
Octavio Paz	オクタビオ・パス
Riese Pio X	リエーゼ・ピオ・デーチモ
Alcalá de Henares	アルカラ・デ・エナーレス
Oulu	オウル
Clach chruth-atharrachail	変成岩
Joseph Smith Jr	ジョセフ・スミス・ジュニア
Peile	バケツ
Sealtainn	シェトランド諸島
Encarnación	エンカルナシオン
Atacama	アタカマ砂漠
Romain Rolland	ロマン・ロラン
Santa Mónica, Calafòrnia	サンタモニカ
Duais Nobel ann an Eaconomachd	アルフレッド・ノーベル記念経済学スウェーデン国立銀行賞
Elfriede Jelinek	エルフリーデ・イェリネク
Cnuimh	蠕虫
Palo Alto	パロアルト (カリフォルニア州)
Marie Antoinette	マリー・アントワネット
Clàrsach	ハープ
Milton Friedman	ミルトン・フリードマン
Green Bay, Wisconsin	グリーンベイ (ウィスコンシン州)
Nota (airgead)	紙幣
André Gide	アンドレ・ジッド
Gàsa (baile)	ガザ
Allt	渓流
Los-leathann	ビーバー
Toruń	トルン
Ivo Andrić	イヴォ・アンドリッチ
Dùthaich nam Basgach (mòr-cheàrn)	バスク地方
Bolgan (innleachd)	電球
Nadine Gordimer	ナディン・ゴーディマー
Iosua	ヨシュア記
Rudolf Christoph Eucken	ルドルフ・クリストフ・オイケン
Kalahari	カラハリ砂漠
The Godfather	ゴッドファーザー (映画)
Imre Kertész	ケルテース・イムレ
El Aaiún	アイウン
Armadillo	アルマジロ
Green Day	グリーン・デイ
Robbie Williams	ロビー・ウィリアムズ
Sid Vicious	シド・ヴィシャス
339	339年
340	340年
Nijmegen	ナイメーヘン
Mario Monti	マリオ・モンティ
354	354年
356	356年
358	358年
361	361年
363	363年
364	364年
368	368年
369	369年
370	370年
Unnsa	オンス
371	371年
Teamplaid:Commonscat	Template:Commonscat
376	376年
377	377年
378	378年
1780an	1780年代
383	383年
384	384年
388	388年
389	389年
390	390年
391	391年
392	392年
1730an	1730年代
393	393年
394	394年
395	395年
396	396年
397	397年
398	398年
399	399年
1540an	1540年代
Dover, Hampshire Nuadh	ドーバー (ニューハンプシャー州)
Nashua, Hampshire Nuadh	ナシュア (ニューハンプシャー州)
Medellín	メデジン
Parabòla	放物線
Kobe	神戸市
Mariehamn	マリエハムン
An Talamh Ùr	ニューファンドランド島
Manchester, Hampshire Nuadh	マンチェスター (ニューハンプシャー州)
Daibhidh MacDhùnleibh	デイヴィッド・リヴィングストン
Richard Gere	リチャード・ギア
Ainneamhag	フェニックス
1750an	1750年代
1580an	1580年代
1590an	1590年代
Hermann Staudinger	ヘルマン・シュタウディンガー
Neuilly-sur-Seine	ヌイイ＝シュル＝セーヌ
Glenn Theodore Seaborg	グレン・シーボーグ
Archer John Porter Martin	アーチャー・マーティン
Richard Laurence Millington Synge	リチャード・シング
Linus Carl Pauling	ライナス・ポーリング
Sir Cyril Norman Hinshelwood	シリル・ヒンシュルウッド
Nikolay Nikolayevich Semyonov	ニコライ・セミョーノフ
Patrick Swayze	パトリック・スウェイジ
San Luis Obispo, Calafòrnia	サンルイスオビスポ
San Luis Obispo County, Calafòrnia	サンルイスオビスポ郡 (カリフォルニア州)
Oilthigh Cholumbia	コロンビア大学
Cambridge, Massachusetts	ケンブリッジ (マサチューセッツ州)
Oilthigh Yale	イェール大学
Ivy League	アイビー・リーグ
Oilthigh Bhrown	ブラウン大学
Oilthigh Chornell	コーネル大学
Colaiste Dartmouth	ダートマス大学
Oilthigh Phennsylvania	ペンシルベニア大学
Brookline, Massachusetts	ブルックライン
New Haven, Connecticut	ニューヘイブン (コネチカット州)
New London, Connecticut	ニューロンドン (コネチカット州)
New Bedford, Massachusetts	ニューベッドフォード (マサチューセッツ州)
Springfield, Massachusetts	スプリングフィールド (マサチューセッツ州)
Lowell, Massachusetts	ローウェル (マサチューセッツ州)
Stamford, Connecticut	スタンフォード (コネチカット州)
279	279年
New Britain, Connecticut	ニューブリテン (コネチカット州)
Bridgeport, Connecticut	ブリッジポート (コネチカット州)
Waterbury, Connecticut	ウォーターバリー (コネチカット州)
Worcester, Massachusetts	ウースター (マサチューセッツ州)
440	440年
Northampton, Massachusetts	ノーサンプトン (マサチューセッツ州)
517	517年
572	572年
Middletown, Connecticut	ミドルタウン (コネチカット州)
Warwick, Rhode Island	ウォリック (ロードアイランド州)
Newton, Massachusetts	ニュートン (マサチューセッツ州)
Cranston, Rhode Island	クランストン (ロードアイランド州)
Danbury, Connecticut	ダンベリー (コネチカット州)
Pawtucket, Rhode Island	ポータケット (ロードアイランド州)
Portland, Maine	ポートランド (メイン州)
Rochester, Eabhraig Nuadh	ロチェスター (ニューヨーク州)
Irvine, Calafòrnia	アーバイン (カリフォルニア州)
Fremont, Calafòrnia	フリーモント
Scottsdale, Arizona	スコッツデール (アリゾナ州)
Chesapeake, Virginia	チェサピーク (バージニア州)
Norfolk, Virginia	ノーフォーク (バージニア州)
Orlando, Florida	オーランド
St. Petersburg, Florida	セントピーターズバーグ (フロリダ州)
Toledo, Ohio	トレド (オハイオ州)
Stockton, Calafòrnia	ストックトン (カリフォルニア州)
Lexington, Kentucky	レキシントン (ケンタッキー州)
Riverside, Calafòrnia	リバーサイド (カリフォルニア州)
Santa Ana, Calafòrnia	サンタアナ (カリフォルニア州)
Aurora, Colorado	オーロラ (コロラド州)
Anaheim, Calafòrnia	アナハイム
Tampa, Florida	タンパ
Bakersfield, Calafòrnia	ベーカーズフィールド (カリフォルニア州)
Colorado Springs, Colorado	コロラドスプリングス
Virginia Beach, Virginia	バージニアビーチ
Mesa, Arizona	メサ (アリゾナ州)
Wichita, Kansas	ウィチタ
Chula Vista, Calafòrnia	チュラビスタ (カリフォルニア州)
Chandler, Arizona	チャンドラー (アリゾナ州)
Accomack County, Virginia	アッコマック郡 (バージニア州)
Northampton County, Virginia	ノーサンプトン郡 (バージニア州)
Melvin Calvin	メルヴィン・カルヴィン
Sir Robert Robinson	ロバート・ロビンソン
Linn na Deighe	氷河期
Àrc	コルク
Àrd-easbaig	大主教
Loch Nis	ネス湖
Schaan	シャーン
Maurice Maeterlinck	モーリス・メーテルリンク
Bàrd	詩人
23mh Linn	23世紀
Banais	結婚式
24mh Linn	24世紀
25mh Linn	25世紀
Bogsa-litrichean	郵便ポスト
Solomon Burke	ソロモン・バーク
Caochladair	変数 (数学)
Riaghailtean Astràilianach	オーストラリアンフットボール
Cali	サンティアゴ・デ・カリ
Dàn Sholaimh	雅歌
Malachi	マラキ書
Pago Pago	パゴパゴ (アメリカ領サモア)
Glendale, Arizona	グレンデール (アリゾナ州)
Gilbert, Arizona	ギルバート (アリゾナ州)
Tempe, Arizona	テンピ (アリゾナ州)
Peoria, Arizona	ピオリア (アリゾナ州)
Gravina in Puglia	グラヴィーナ・イン・プーリア
Laphroaig	ラフロイグ
Bogh Mòr	ボウモア
Middelburg	ミデルブルフ
Iron County, Wisconsin	アイアン郡 (ウィスコンシン州)
Formentera	フォルメンテラ島
Ibiza	イビサ島
Menorca	メノルカ島
Jogaila	ヴワディスワフ2世 (ポーランド王)
Meall (cnoc)	丘
Oilthigh Chologne	ケルン大学
Methuen, Massachusetts	マスーアン (マサチューセッツ州)
Norwalk, Connecticut	ノーウォーク (コネチカット州)
West Haven, Connecticut	ウェストヘイブン (コネチカット州)
Meriden, Connecticut	メリデン (コネチカット州)
Providence County, Rhode Island	プロビデンス郡 (ロードアイランド州)
Kent County, Rhode Island	ケント郡 (ロードアイランド州)
Washington County, Rhode Island	ワシントン郡 (ロードアイランド州)
Newport County, Rhode Island	ニューポート郡 (ロードアイランド州)
Bristol County, Rhode Island	ブリストル郡 (ロードアイランド州)
Newport, Rhode Island	ニューポート (ロードアイランド州)
East Providence, Rhode Island	イーストプロビデンス (ロードアイランド州)
Central Falls, Rhode Island	セントラルフォールズ (ロードアイランド州)
Rockingham County, Hampshire Nuadh	ロッキンガム郡 (ニューハンプシャー州)
Hillsborough County, Hampshire Nuadh	ヒルズボロ郡 (ニューハンプシャー州)
Merrimack County, Hampshire Nuadh	メリマック郡 (ニューハンプシャー州)
Strafford County, Hampshire Nuadh	ストラッフォード郡 (ニューハンプシャー州)
Belknap County, Hampshire Nuadh	ベルナップ郡
Cheshire County, Hampshire Nuadh	チェシャー郡 (ニューハンプシャー州)
Sullivan County, Hampshire Nuadh	サリバン郡 (ニューハンプシャー州)
Grafton County, Hampshire Nuadh	グラフトン郡 (ニューハンプシャー州)
Carroll County, Hampshire Nuadh	キャロル郡 (ニューハンプシャー州)
Banbh	バンフ (スコットランド)
Cuenca (provincia)	クエンカ県
Albacete (provincia)	アルバセテ県
Guadalajara (provincia)	グアダラハラ県
Toledo (provincia)	トレド県
Ciudad Real (provincia)	シウダ・レアル県
Alacant (provincia)	アリカンテ県
Valencia (provincia)	バレンシア県
Teruel (provincia)	テルエル県
Zaragoza (provincia)	サラゴサ県
Huesca (provincia)	ウエスカ県
Laurence Olivier	ローレンス・オリヴィエ
Palencia (provincia)	パレンシア県
Burgos (provincia)	ブルゴス県
Soria (provincia)	ソリア県
Segovia (provincia)	セゴビア県
Ávila (provincia)	アビラ県
Contae Laoise	リーシュ州
An Muileann gCearr	マリンガー
Roinn-seòrsa:Film	Category:映画作品
José María Aznar López	ホセ・マリア・アスナール
Peter Ustinov	ピーター・ユスティノフ
All Blacks	ラグビーニュージーランド代表
Cabhlach na Gearmailte	ドイツ海軍 (ドイツ連邦軍)
Katharine Hepburn	キャサリン・ヘプバーン
Grottammare	グロッタンマーレ
Lise Meitner	リーゼ・マイトナー
Sàmais	サーミ語
Otto Hahn	オットー・ハーン
Nelly Sachs	ネリー・ザックス
Fritz Haber	フリッツ・ハーバー
Johann Friedrich Wilhelm Adolf von Baeyer	アドルフ・フォン・バイヤー
Pàpa Hadrianus VI	ハドリアヌス6世 (ローマ教皇)
Paul Ehrlich	パウル・エールリヒ
Walther Hermann Nernst	ヴァルター・ネルンスト
Anna Cleves	アン・オブ・クレーヴズ
Otto Wallach	オットー・ヴァラッハ
Georgi Parvanov	ゲオルギ・パルヴァノフ
Traian Băsescu	トラヤン・バセスク
Jacob Zuma	ジェイコブ・ズマ
Ólafur Ragnar Grímsson	オラフル・ラグナル・グリムソン
Toomas Hendrik Ilves	トーマス・イルヴェス
Ivan Gašparovič	イヴァン・ガシュパロヴィッチ
Juan Manuel Santos Calderón	フアン・マヌエル・サントス
Václav Klaus	ヴァーツラフ・クラウス
Hans-Adam II	ハンス・アダム2世
Mykola Azarov	ミコラ・アザロフ
Margadh na Nollaige	クリスマスマーケット
Mark Rutte	マルク・ルッテ
Èideard I Shasainn	エドワード1世 (イングランド王)
Éanna Ó Coinnigh	エンダ・ケニー
Na Trì Nàiseanan	ザ・ラグビーチャンピオンシップ
Duran Duran	デュラン・デュラン
Liam Neeson	リーアム・ニーソン
Punjabi (cànan)	パンジャーブ語
Torc fiadhach	イノシシ
Cogadh a' Chaidreachais Thrìpilte	三国同盟戦争
Dà-theangachas	ダイグロシア
Robert Redford	ロバート・レッドフォード
Northland Region	ノースランド地方
Breatainn Nuadh	ニューブリテン島
Wicca	ウィッカ
Albertus Magnus	アルベルトゥス・マグヌス
Venkatraman Ramakrishnan	ヴェンカトラマン・ラマクリシュナン
Gerhard Ertl	ゲルハルト・エルトル
1150an	1150年代
1030an	1030年代
1050an	1050年代
Peacadh	宗教における罪
Meppel	メッペル
Napa, Calafòrnia	ナパ (カリフォルニア州)
Martin Kaymer	マルティン・カイマー
Earball	尾
Crawford County, Arkansas	クロウフォード郡 (アーカンソー州)
Fulton County, Arkansas	フルトン郡 (アーカンソー州)
Boone County, Arkansas	ブーン郡 (アーカンソー州)
Dallas County, Arkansas	ダラス郡 (アーカンソー州)
Jackson County, Arkansas	ジャクソン郡 (アーカンソー州)
Greene County, Arkansas	グリーン郡 (アーカンソー州)
Benton County, Arkansas	ベントン郡 (アーカンソー州)
Bradley County, Arkansas	ブラドリー郡 (アーカンソー州)
Ashley County, Arkansas	アシュリー郡 (アーカンソー州)
Desha County, Arkansas	デシェイ郡 (アーカンソー州)
Cleveland County, Arkansas	クリーブランド郡 (アーカンソー州)
Howard County, Arkansas	ハワード郡 (アーカンソー州)
Cross County, Arkansas	クロス郡 (アーカンソー州)
Cleburne County, Arkansas	クリバーン郡 (アーカンソー州)
Izard County, Arkansas	イザード郡 (アーカンソー州)
